ActivityStartDate,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultDepthHeightMeasure/MeasureUnitCode,MonitoringLocationIdentifier,_name,_dist_km,ResultDetectionConditionText,ResultStatusIdentifier,ResultCommentText,source
2019-02-01,Nitrogen,0.047,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
2019-02-01,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
2019-02-01,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
2019-02-01,Turbidity,3.7,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
2019-02-11,Turbidity,3.2,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
2019-02-11,Nitrogen,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,Not Detected,Accepted,,original
2019-02-11,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
2019-02-11,Phosphorus,0.06,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
2019-03-20,Turbidity,33.0,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
2019-03-20,Nitrogen,0.273,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",1.0372831686368795,,Accepted,,original
