ActivityStartDate,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultDepthHeightMeasure/MeasureUnitCode,MonitoringLocationIdentifier,_name,_dist_km,ResultDetectionConditionText,ResultStatusIdentifier,ResultCommentText,source
2019-04-23,Phosphorus,0.007,mg/L,,MNDA_PESTICIDE-LD00357,"MNDA WET PRECIPITATION MONITORING - ST PAUL - MRP, MISSISSIPPI R WET PRECIPITATION SITE ON ROOF OF 625 ROBERT ST N ST PAUL, MN",1.2054691814806413,,Final,,original
2019-05-09,Phosphorus,0.071,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-05-13,Phosphorus,,,,MNDA_PESTICIDE-LD00357,"MNDA WET PRECIPITATION MONITORING - ST PAUL - MRP, MISSISSIPPI R WET PRECIPITATION SITE ON ROOF OF 625 ROBERT ST N ST PAUL, MN",1.2054691814806413,Below Reporting Limit,Final,,original
2019-05-13,Phosphorus,0.042,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-05-22,Phosphorus,0.063,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-05-24,Phosphorus,0.045,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-06-04,Phosphorus,0.008,mg/L,,MNDA_PESTICIDE-LD00357,"MNDA WET PRECIPITATION MONITORING - ST PAUL - MRP, MISSISSIPPI R WET PRECIPITATION SITE ON ROOF OF 625 ROBERT ST N ST PAUL, MN",1.2054691814806413,,Final,Sample disposed of early due to walk-in freezer malfunction,original
2019-06-14,Phosphorus,0.064,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,Sample disposed of early due to walk-in freezer malfunction,original
2019-06-24,Phosphorus,0.091,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,Sample disposed of early due to walk-in freezer malfunction,original
2019-07-01,Phosphorus,0.091,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-07-01,Phosphorus,0.091,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-07-03,Phosphorus,0.074,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-07-15,Phosphorus,0.011,mg/L,,MNDA_PESTICIDE-LD00357,"MNDA WET PRECIPITATION MONITORING - ST PAUL - MRP, MISSISSIPPI R WET PRECIPITATION SITE ON ROOF OF 625 ROBERT ST N ST PAUL, MN",1.2054691814806413,,Final,,original
2019-07-26,Phosphorus,0.092,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-07-30,Phosphorus,0.064,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-08-07,Phosphorus,,,,MNDA_PESTICIDE-LD00357,"MNDA WET PRECIPITATION MONITORING - ST PAUL - MRP, MISSISSIPPI R WET PRECIPITATION SITE ON ROOF OF 625 ROBERT ST N ST PAUL, MN",1.2054691814806413,Below Reporting Limit,Final,,original
2019-08-12,Phosphorus,0.064,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2019-08-27,Phosphorus,0.008,mg/L,,MNDA_PESTICIDE-LD00357,"MNDA WET PRECIPITATION MONITORING - ST PAUL - MRP, MISSISSIPPI R WET PRECIPITATION SITE ON ROOF OF 625 ROBERT ST N ST PAUL, MN",1.2054691814806413,,Final,,original
2019-08-27,Phosphorus,0.06,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
2020-05-15,Phosphorus,0.048,mg/L,,MNDA_PESTICIDE-S005-395,"BATTLE CK, W OF US-61 AND 1 MI E OF THE MISSISSIPPI R",4.604633031568441,,Final,,original
