ActivityStartDate,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultDepthHeightMeasure/MeasureUnitCode,MonitoringLocationIdentifier,_name,_dist_km,ResultDetectionConditionText,ResultStatusIdentifier,ResultCommentText,source
2020-08-25,Dissolved oxygen (DO),7.56,mg/L,,MNPCA_BIO-S009-623,"Trib. to Mississippi River upstream of Riverview Terrace Rd, in Fridley",5.371699033329492,,Final,,original
2020-08-25,Phosphorus,0.08,mg/L,,MNPCA_BIO-S009-623,"Trib. to Mississippi River upstream of Riverview Terrace Rd, in Fridley",5.371699033329492,,Final,,original
2021-06-29,Dissolved oxygen (DO),7.46,mg/L,,MNPCA_BIO-S009-623,"Trib. to Mississippi River upstream of Riverview Terrace Rd, in Fridley",5.371699033329492,,Final,,original
2021-06-29,Phosphorus,0.13,mg/L,,MNPCA_BIO-S009-623,"Trib. to Mississippi River upstream of Riverview Terrace Rd, in Fridley",5.371699033329492,,Final,,original
2021-02-03,Phosphorus,0.0203,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-03-03,Phosphorus,0.0319,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-04-21,Phosphorus,0.0303,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-05-06,Phosphorus,0.0397,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-06-16,Phosphorus,0.0692,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-06-30,Phosphorus,0.0415,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-08-04,Phosphorus,0.0285,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-05-20,Phosphorus,0.0473,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-06-02,Phosphorus,0.0699,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-04-07,Phosphorus,0.0745,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-07-21,Phosphorus,0.0534,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-08-18,Phosphorus,0.0349,,,,,,,,,lag_MNPCA-S009-161_d-1
2021-01-06,Phosphorus,0.0287,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-04-03,Phosphorus,0.1831,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-05-15,Phosphorus,0.0763,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-06-05,Phosphorus,0.0701,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-02-20,Phosphorus,0.0294,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-04-17,Phosphorus,0.0338,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-01-15,Phosphorus,0.0281,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-07-02,Phosphorus,0.1169,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-03-27,Phosphorus,0.2133,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-07-31,Phosphorus,0.0933,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-08-14,Phosphorus,0.0375,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-06-19,Phosphorus,0.0407,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-09-04,Phosphorus,0.0642,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-05-01,Phosphorus,0.0499,,,,,,,,,lag_MNPCA-S009-161_d-1
2019-07-17,Phosphorus,0.0818,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-05-20,Phosphorus,0.0413,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-03-11,Phosphorus,0.0673,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-09-02,Phosphorus,0.0394,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-09-16,Phosphorus,0.0552,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-08-19,Phosphorus,0.1388,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-08-05,Phosphorus,0.1176,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-06-17,Phosphorus,0.0613,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-02-11,Phosphorus,0.0403,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-07-01,Phosphorus,0.0628,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-07-16,Phosphorus,0.0489,,,,,,,,,lag_MNPCA-S009-161_d-1
2020-06-04,Phosphorus,0.0602,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-09-08,Phosphorus,0.099,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-01-13,Phosphorus,0.037,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-05-23,Phosphorus,0.0885,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-07-28,Phosphorus,0.14,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-04-28,Phosphorus,0.0706,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-04-14,Phosphorus,0.0258,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-06-23,Phosphorus,0.0723,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-08-25,Phosphorus,0.0924,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-08-11,Phosphorus,0.0664,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-07-14,Phosphorus,0.0744,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-06-09,Phosphorus,0.069,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-05-12,Phosphorus,0.0612,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-03-10,Phosphorus,0.0367,,,,,,,,,lag_MNPCA-S009-161_d-1
2016-09-22,Phosphorus,0.0627,,,,,,,,,lag_MNPCA-S009-161_d-1
2023-03-01,Phosphorus,0.0212,,,,,,,,,lag_MNPCA-S009-161_d-1
2023-11-01,Phosphorus,0.0519,,,,,,,,,lag_MNPCA-S009-161_d-1
