ActivityStartDate,CharacteristicName,ResultMeasureValue,source
2019-01-01,Phosphorus,0.212,synthetic_physics
2019-01-01,Nitrogen,1.8972,synthetic_physics
2019-01-01,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-01,Chlorophyll a,14.7103,synthetic_physics
2019-01-01,Turbidity,11.55,synthetic_physics
2019-01-08,Phosphorus,0.1814,synthetic_physics
2019-01-08,Nitrogen,2.6364,synthetic_physics
2019-01-08,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-08,Chlorophyll a,2.8115,synthetic_physics
2019-01-08,Turbidity,12.159,synthetic_physics
2019-01-15,Phosphorus,0.2411,synthetic_physics
2019-01-15,Nitrogen,1.9421,synthetic_physics
2019-01-15,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-15,Chlorophyll a,1.5513,synthetic_physics
2019-01-15,Turbidity,12.0521,synthetic_physics
2019-01-22,Phosphorus,0.3535,synthetic_physics
2019-01-22,Nitrogen,2.2923,synthetic_physics
2019-01-22,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-22,Chlorophyll a,15.8315,synthetic_physics
2019-01-22,Turbidity,20.334,synthetic_physics
2019-01-29,Phosphorus,0.6133,synthetic_physics
2019-01-29,Nitrogen,4.1043,synthetic_physics
2019-01-29,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-29,Chlorophyll a,20.4078,synthetic_physics
2019-01-29,Turbidity,36.5327,synthetic_physics
2019-02-05,Phosphorus,0.5521,synthetic_physics
2019-02-05,Nitrogen,3.373,synthetic_physics
2019-02-05,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-05,Chlorophyll a,26.1214,synthetic_physics
2019-02-05,Turbidity,34.7908,synthetic_physics
2019-02-12,Phosphorus,0.5044,synthetic_physics
2019-02-12,Nitrogen,4.6195,synthetic_physics
2019-02-12,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-12,Chlorophyll a,25.6973,synthetic_physics
2019-02-12,Turbidity,34.8122,synthetic_physics
2019-02-19,Phosphorus,0.4593,synthetic_physics
2019-02-19,Nitrogen,3.5566,synthetic_physics
2019-02-19,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-19,Chlorophyll a,26.4855,synthetic_physics
2019-02-19,Turbidity,31.3957,synthetic_physics
2019-02-26,Phosphorus,0.6982,synthetic_physics
2019-02-26,Nitrogen,4.7382,synthetic_physics
2019-02-26,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-26,Chlorophyll a,38.5186,synthetic_physics
2019-02-26,Turbidity,41.3034,synthetic_physics
2019-03-05,Phosphorus,0.6505,synthetic_physics
2019-03-05,Nitrogen,4.484,synthetic_physics
2019-03-05,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-05,Chlorophyll a,43.1622,synthetic_physics
2019-03-05,Turbidity,39.4903,synthetic_physics
2019-03-12,Phosphorus,0.4212,synthetic_physics
2019-03-12,Nitrogen,3.0296,synthetic_physics
2019-03-12,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-12,Chlorophyll a,32.8654,synthetic_physics
2019-03-12,Turbidity,28.2613,synthetic_physics
2019-03-19,Phosphorus,0.3186,synthetic_physics
2019-03-19,Nitrogen,1.9784,synthetic_physics
2019-03-19,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-19,Chlorophyll a,18.0044,synthetic_physics
2019-03-19,Turbidity,20.6823,synthetic_physics
2019-03-26,Phosphorus,0.1944,synthetic_physics
2019-03-26,Nitrogen,1.5746,synthetic_physics
2019-03-26,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-26,Chlorophyll a,2.1401,synthetic_physics
2019-03-26,Turbidity,14.0673,synthetic_physics
2019-04-02,Phosphorus,0.2118,synthetic_physics
2019-04-02,Nitrogen,1.5778,synthetic_physics
2019-04-02,Dissolved oxygen (DO),14.0,synthetic_physics
2019-04-02,Chlorophyll a,6.0118,synthetic_physics
2019-04-02,Turbidity,9.8709,synthetic_physics
2019-04-09,Phosphorus,0.2053,synthetic_physics
2019-04-09,Nitrogen,2.4554,synthetic_physics
2019-04-09,Dissolved oxygen (DO),13.9212,synthetic_physics
2019-04-09,Chlorophyll a,13.4369,synthetic_physics
2019-04-09,Turbidity,6.8773,synthetic_physics
2019-04-16,Phosphorus,0.2253,synthetic_physics
2019-04-16,Nitrogen,1.812,synthetic_physics
2019-04-16,Dissolved oxygen (DO),13.8298,synthetic_physics
2019-04-16,Chlorophyll a,7.7057,synthetic_physics
2019-04-16,Turbidity,8.8968,synthetic_physics
2019-04-23,Phosphorus,0.1888,synthetic_physics
2019-04-23,Nitrogen,2.0067,synthetic_physics
2019-04-23,Dissolved oxygen (DO),13.3355,synthetic_physics
2019-04-23,Chlorophyll a,6.5721,synthetic_physics
2019-04-23,Turbidity,10.0831,synthetic_physics
2019-04-30,Phosphorus,0.1944,synthetic_physics
2019-04-30,Nitrogen,2.3914,synthetic_physics
2019-04-30,Dissolved oxygen (DO),12.6171,synthetic_physics
2019-04-30,Chlorophyll a,8.7157,synthetic_physics
2019-04-30,Turbidity,13.5513,synthetic_physics
2019-05-07,Phosphorus,0.2122,synthetic_physics
2019-05-07,Nitrogen,2.5379,synthetic_physics
2019-05-07,Dissolved oxygen (DO),11.9234,synthetic_physics
2019-05-07,Chlorophyll a,11.9424,synthetic_physics
2019-05-07,Turbidity,12.1271,synthetic_physics
2019-05-14,Phosphorus,0.1739,synthetic_physics
2019-05-14,Nitrogen,2.2792,synthetic_physics
2019-05-14,Dissolved oxygen (DO),11.9307,synthetic_physics
2019-05-14,Chlorophyll a,15.6144,synthetic_physics
2019-05-14,Turbidity,11.9878,synthetic_physics
2019-05-21,Phosphorus,0.1714,synthetic_physics
2019-05-21,Nitrogen,1.9985,synthetic_physics
2019-05-21,Dissolved oxygen (DO),11.3509,synthetic_physics
2019-05-21,Chlorophyll a,13.6924,synthetic_physics
2019-05-21,Turbidity,11.9267,synthetic_physics
2019-05-28,Phosphorus,0.2758,synthetic_physics
2019-05-28,Nitrogen,3.5853,synthetic_physics
2019-05-28,Dissolved oxygen (DO),11.2151,synthetic_physics
2019-05-28,Chlorophyll a,24.2053,synthetic_physics
2019-05-28,Turbidity,16.6966,synthetic_physics
