ActivityStartDate,CharacteristicName,ResultMeasureValue,source
2019-01-01,Phosphorus,0.2284,synthetic_physics
2019-01-01,Nitrogen,1.8126,synthetic_physics
2019-01-01,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-01,Chlorophyll a,18.7303,synthetic_physics
2019-01-01,Turbidity,12.852,synthetic_physics
2019-01-08,Phosphorus,0.2383,synthetic_physics
2019-01-08,Nitrogen,2.7428,synthetic_physics
2019-01-08,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-08,Chlorophyll a,9.2375,synthetic_physics
2019-01-08,Turbidity,16.089,synthetic_physics
2019-01-15,Phosphorus,0.4482,synthetic_physics
2019-01-15,Nitrogen,2.8699,synthetic_physics
2019-01-15,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-15,Chlorophyll a,14.3724,synthetic_physics
2019-01-15,Turbidity,25.8229,synthetic_physics
2019-01-22,Phosphorus,0.6376,synthetic_physics
2019-01-22,Nitrogen,3.6695,synthetic_physics
2019-01-22,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-22,Chlorophyll a,35.3603,synthetic_physics
2019-01-22,Turbidity,39.1334,synthetic_physics
2019-01-29,Phosphorus,0.9504,synthetic_physics
2019-01-29,Nitrogen,6.0099,synthetic_physics
2019-01-29,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-29,Chlorophyll a,43.686,synthetic_physics
2019-01-29,Turbidity,58.8619,synthetic_physics
2019-02-05,Phosphorus,0.8159,synthetic_physics
2019-02-05,Nitrogen,4.8004,synthetic_physics
2019-02-05,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-05,Chlorophyll a,45.7536,synthetic_physics
2019-02-05,Turbidity,52.2369,synthetic_physics
2019-02-12,Phosphorus,0.6948,synthetic_physics
2019-02-12,Nitrogen,5.5686,synthetic_physics
2019-02-12,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-12,Chlorophyll a,41.6833,synthetic_physics
2019-02-12,Turbidity,47.3753,synthetic_physics
2019-02-19,Phosphorus,0.5764,synthetic_physics
2019-02-19,Nitrogen,4.0274,synthetic_physics
2019-02-19,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-19,Chlorophyll a,38.8255,synthetic_physics
2019-02-19,Turbidity,39.0757,synthetic_physics
2019-02-26,Phosphorus,0.8506,synthetic_physics
2019-02-26,Nitrogen,5.5013,synthetic_physics
2019-02-26,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-26,Chlorophyll a,53.5256,synthetic_physics
2019-02-26,Turbidity,51.4531,synthetic_physics
2019-03-05,Phosphorus,0.7006,synthetic_physics
2019-03-05,Nitrogen,4.4946,synthetic_physics
2019-03-05,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-05,Chlorophyll a,53.1887,synthetic_physics
2019-03-05,Turbidity,42.8697,synthetic_physics
2019-03-12,Phosphorus,0.466,synthetic_physics
2019-03-12,Nitrogen,2.9586,synthetic_physics
2019-03-12,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-12,Chlorophyll a,41.3814,synthetic_physics
2019-03-12,Turbidity,31.3769,synthetic_physics
2019-03-19,Phosphorus,0.2814,synthetic_physics
2019-03-19,Nitrogen,1.507,synthetic_physics
2019-03-19,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-19,Chlorophyll a,11.8844,synthetic_physics
2019-03-19,Turbidity,18.2465,synthetic_physics
2019-03-26,Phosphorus,0.2274,synthetic_physics
2019-03-26,Nitrogen,1.7291,synthetic_physics
2019-03-26,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-26,Chlorophyll a,1.0,synthetic_physics
2019-03-26,Turbidity,16.1843,synthetic_physics
2019-04-02,Phosphorus,0.2808,synthetic_physics
2019-04-02,Nitrogen,1.8665,synthetic_physics
2019-04-02,Dissolved oxygen (DO),14.0,synthetic_physics
2019-04-02,Chlorophyll a,9.8168,synthetic_physics
2019-04-02,Turbidity,14.3725,synthetic_physics
2019-04-09,Phosphorus,0.2674,synthetic_physics
2019-04-09,Nitrogen,2.7351,synthetic_physics
2019-04-09,Dissolved oxygen (DO),13.9212,synthetic_physics
2019-04-09,Chlorophyll a,17.1544,synthetic_physics
2019-04-09,Turbidity,10.8706,synthetic_physics
2019-04-16,Phosphorus,0.2796,synthetic_physics
2019-04-16,Nitrogen,2.0942,synthetic_physics
2019-04-16,Dissolved oxygen (DO),13.8298,synthetic_physics
2019-04-16,Chlorophyll a,11.3357,synthetic_physics
2019-04-16,Turbidity,12.3605,synthetic_physics
2019-04-23,Phosphorus,0.2508,synthetic_physics
2019-04-23,Nitrogen,2.3139,synthetic_physics
