ActivityStartDate,CharacteristicName,ResultMeasureValue,source
2019-01-01,Phosphorus,0.2077,synthetic_physics
2019-01-01,Nitrogen,2.0237,synthetic_physics
2019-01-01,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-01,Chlorophyll a,17.6603,synthetic_physics
2019-01-01,Turbidity,11.3,synthetic_physics
2019-01-08,Phosphorus,0.1954,synthetic_physics
2019-01-08,Nitrogen,2.7603,synthetic_physics
2019-01-08,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-08,Chlorophyll a,6.1155,synthetic_physics
2019-01-08,Turbidity,13.0394,synthetic_physics
2019-01-15,Phosphorus,0.1887,synthetic_physics
2019-01-15,Nitrogen,1.5886,synthetic_physics
2019-01-15,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-15,Chlorophyll a,3.3182,synthetic_physics
2019-01-15,Turbidity,8.4616,synthetic_physics
2019-01-22,Phosphorus,0.2179,synthetic_physics
2019-01-22,Nitrogen,1.4354,synthetic_physics
2019-01-22,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-22,Chlorophyll a,15.116,synthetic_physics
2019-01-22,Turbidity,11.2456,synthetic_physics
2019-01-29,Phosphorus,0.3864,synthetic_physics
2019-01-29,Nitrogen,2.6108,synthetic_physics
2019-01-29,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-29,Chlorophyll a,19.5378,synthetic_physics
2019-01-29,Turbidity,21.4921,synthetic_physics
2019-02-05,Phosphorus,0.4878,synthetic_physics
2019-02-05,Nitrogen,2.9426,synthetic_physics
2019-02-05,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-05,Chlorophyll a,30.9167,synthetic_physics
2019-02-05,Turbidity,30.546,synthetic_physics
2019-02-12,Phosphorus,0.6028,synthetic_physics
2019-02-12,Nitrogen,5.2522,synthetic_physics
2019-02-12,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-12,Chlorophyll a,36.1577,synthetic_physics
2019-02-12,Turbidity,41.3632,synthetic_physics
2019-02-19,Phosphorus,0.4031,synthetic_physics
2019-02-19,Nitrogen,3.4021,synthetic_physics
2019-02-19,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-19,Chlorophyll a,30.8155,synthetic_physics
2019-02-19,Turbidity,27.5437,synthetic_physics
2019-02-26,Phosphorus,0.5562,synthetic_physics
2019-02-26,Nitrogen,3.9303,synthetic_physics
2019-02-26,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-26,Chlorophyll a,39.6,synthetic_physics
2019-02-26,Turbidity,31.8191,synthetic_physics
2019-03-05,Phosphorus,0.6416,synthetic_physics
2019-03-05,Nitrogen,4.1759,synthetic_physics
2019-03-05,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-05,Chlorophyll a,46.7627,synthetic_physics
2019-03-05,Turbidity,38.9198,synthetic_physics
2019-03-12,Phosphorus,0.4383,synthetic_physics
2019-03-12,Nitrogen,3.0135,synthetic_physics
2019-03-12,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-12,Chlorophyll a,37.3957,synthetic_physics
2019-03-12,Turbidity,29.5479,synthetic_physics
2019-03-19,Phosphorus,0.2402,synthetic_physics
2019-03-19,Nitrogen,1.4319,synthetic_physics
2019-03-19,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-19,Chlorophyll a,13.9144,synthetic_physics
2019-03-19,Turbidity,15.3986,synthetic_physics
2019-03-26,Phosphorus,0.1653,synthetic_physics
2019-03-26,Nitrogen,1.4927,synthetic_physics
2019-03-26,Dissolved oxygen (DO),14.0,synthetic_physics
2019-03-26,Chlorophyll a,1.0,synthetic_physics
2019-03-26,Turbidity,12.0152,synthetic_physics
2019-04-02,Phosphorus,0.2353,synthetic_physics
2019-04-02,Nitrogen,1.7359,synthetic_physics
2019-04-02,Dissolved oxygen (DO),14.0,synthetic_physics
2019-04-02,Chlorophyll a,10.8362,synthetic_physics
2019-04-02,Turbidity,11.383,synthetic_physics
2019-04-09,Phosphorus,0.2166,synthetic_physics
2019-04-09,Nitrogen,2.5939,synthetic_physics
2019-04-09,Dissolved oxygen (DO),13.9212,synthetic_physics
2019-04-09,Chlorophyll a,17.688,synthetic_physics
2019-04-09,Turbidity,7.5238,synthetic_physics
2019-04-16,Phosphorus,0.2308,synthetic_physics
2019-04-16,Nitrogen,1.9667,synthetic_physics
2019-04-16,Dissolved oxygen (DO),13.8298,synthetic_physics
2019-04-16,Chlorophyll a,11.3834,synthetic_physics
2019-04-16,Turbidity,9.106,synthetic_physics
2019-04-23,Phosphorus,0.1967,synthetic_physics
2019-04-23,Nitrogen,2.1383,synthetic_physics
2019-04-23,Dissolved oxygen (DO),13.3355,synthetic_physics
2019-04-23,Chlorophyll a,10.0678,synthetic_physics
2019-04-23,Turbidity,10.4811,synthetic_physics
2019-04-30,Phosphorus,0.2115,synthetic_physics
2019-04-30,Nitrogen,2.5228,synthetic_physics
2019-04-30,Dissolved oxygen (DO),12.6171,synthetic_physics
2019-04-30,Chlorophyll a,12.5511,synthetic_physics
2019-04-30,Turbidity,14.5792,synthetic_physics
2019-05-07,Phosphorus,0.2496,synthetic_physics
2019-05-07,Nitrogen,2.7041,synthetic_physics
2019-05-07,Dissolved oxygen (DO),11.9234,synthetic_physics
2019-05-07,Chlorophyll a,16.2457,synthetic_physics
2019-05-07,Turbidity,14.6039,synthetic_physics
2019-05-14,Phosphorus,0.2262,synthetic_physics
2019-05-14,Nitrogen,2.5007,synthetic_physics
2019-05-14,Dissolved oxygen (DO),11.9307,synthetic_physics
2019-05-14,Chlorophyll a,19.5497,synthetic_physics
2019-05-14,Turbidity,15.3471,synthetic_physics
2019-05-21,Phosphorus,0.2152,synthetic_physics
2019-05-21,Nitrogen,2.3503,synthetic_physics
2019-05-21,Dissolved oxygen (DO),11.3509,synthetic_physics
2019-05-21,Chlorophyll a,17.8184,synthetic_physics
2019-05-21,Turbidity,14.5718,synthetic_physics
2019-05-28,Phosphorus,0.2254,synthetic_physics
2019-05-28,Nitrogen,3.2663,synthetic_physics
2019-05-28,Dissolved oxygen (DO),11.2151,synthetic_physics
2019-05-28,Chlorophyll a,26.4673,synthetic_physics
2019-05-28,Turbidity,13.0908,synthetic_physics
2019-06-04,Phosphorus,0.2271,synthetic_physics
2019-06-04,Nitrogen,2.7755,synthetic_physics
2019-06-04,Dissolved oxygen (DO),10.2225,synthetic_physics
2019-06-04,Chlorophyll a,38.8255,synthetic_physics
2019-06-04,Turbidity,15.9582,synthetic_physics
2019-06-11,Phosphorus,0.292,synthetic_physics
2019-06-11,Nitrogen,2.7588,synthetic_physics
2019-06-11,Dissolved oxygen (DO),9.1195,synthetic_physics
2019-06-11,Chlorophyll a,37.8212,synthetic_physics
2019-06-11,Turbidity,19.3907,synthetic_physics
2019-06-18,Phosphorus,0.3321,synthetic_physics
2019-06-18,Nitrogen,2.7309,synthetic_physics
2019-06-18,Dissolved oxygen (DO),9.7167,synthetic_physics
2019-06-18,Chlorophyll a,25.4121,synthetic_physics
2019-06-18,Turbidity,20.9004,synthetic_physics
2019-06-25,Phosphorus,0.345,synthetic_physics
2019-06-25,Nitrogen,2.5655,synthetic_physics
2019-06-25,Dissolved oxygen (DO),9.1809,synthetic_physics
2019-06-25,Chlorophyll a,35.2408,synthetic_physics
2019-06-25,Turbidity,17.8393,synthetic_physics
2019-07-02,Phosphorus,0.265,synthetic_physics
2019-07-02,Nitrogen,3.1502,synthetic_physics
2019-07-02,Dissolved oxygen (DO),8.2076,synthetic_physics
2019-07-02,Chlorophyll a,39.3061,synthetic_physics
2019-07-02,Turbidity,16.5784,synthetic_physics
2019-07-09,Phosphorus,0.3426,synthetic_physics
2019-07-09,Nitrogen,2.9966,synthetic_physics
2019-07-09,Dissolved oxygen (DO),8.1725,synthetic_physics
2019-07-09,Chlorophyll a,42.3942,synthetic_physics
2019-07-09,Turbidity,16.7902,synthetic_physics
2019-07-16,Phosphorus,0.3079,synthetic_physics
2019-07-16,Nitrogen,3.8829,synthetic_physics
2019-07-16,Dissolved oxygen (DO),7.6175,synthetic_physics
2019-07-16,Chlorophyll a,40.1137,synthetic_physics
2019-07-16,Turbidity,19.438,synthetic_physics
2019-07-23,Phosphorus,0.3068,synthetic_physics
2019-07-23,Nitrogen,2.7555,synthetic_physics
2019-07-23,Dissolved oxygen (DO),10.8463,synthetic_physics
2019-07-23,Chlorophyll a,42.6654,synthetic_physics
2019-07-23,Turbidity,18.5078,synthetic_physics
2019-07-30,Phosphorus,0.26,synthetic_physics
2019-07-30,Nitrogen,3.4345,synthetic_physics
2019-07-30,Dissolved oxygen (DO),9.217,synthetic_physics
2019-07-30,Chlorophyll a,35.3454,synthetic_physics
2019-07-30,Turbidity,15.9579,synthetic_physics
2019-08-06,Phosphorus,0.2739,synthetic_physics
2019-08-06,Nitrogen,4.4344,synthetic_physics
2019-08-06,Dissolved oxygen (DO),7.7607,synthetic_physics
2019-08-06,Chlorophyll a,33.3229,synthetic_physics
2019-08-06,Turbidity,18.9207,synthetic_physics
2019-08-13,Phosphorus,0.3372,synthetic_physics
2019-08-13,Nitrogen,4.2601,synthetic_physics
2019-08-13,Dissolved oxygen (DO),8.1096,synthetic_physics
2019-08-13,Chlorophyll a,42.4192,synthetic_physics
2019-08-13,Turbidity,24.1501,synthetic_physics
2019-08-20,Phosphorus,0.2552,synthetic_physics
2019-08-20,Nitrogen,3.9253,synthetic_physics
2019-08-20,Dissolved oxygen (DO),8.4055,synthetic_physics
2019-08-20,Chlorophyll a,37.0,synthetic_physics
2019-08-20,Turbidity,13.0882,synthetic_physics
2019-08-27,Phosphorus,0.3118,synthetic_physics
2019-08-27,Nitrogen,3.3439,synthetic_physics
2019-08-27,Dissolved oxygen (DO),8.2558,synthetic_physics
2019-08-27,Chlorophyll a,45.8288,synthetic_physics
2019-08-27,Turbidity,20.9733,synthetic_physics
2019-09-03,Phosphorus,0.4451,synthetic_physics
2019-09-03,Nitrogen,4.2847,synthetic_physics
2019-09-03,Dissolved oxygen (DO),8.4966,synthetic_physics
2019-09-03,Chlorophyll a,51.1507,synthetic_physics
2019-09-03,Turbidity,32.4228,synthetic_physics
2019-09-10,Phosphorus,0.3685,synthetic_physics
2019-09-10,Nitrogen,3.418,synthetic_physics
2019-09-10,Dissolved oxygen (DO),8.3204,synthetic_physics
2019-09-10,Chlorophyll a,49.6513,synthetic_physics
2019-09-10,Turbidity,21.5179,synthetic_physics
2019-09-17,Phosphorus,0.2708,synthetic_physics
2019-09-17,Nitrogen,3.6972,synthetic_physics
2019-09-17,Dissolved oxygen (DO),8.6667,synthetic_physics
2019-09-17,Chlorophyll a,34.3333,synthetic_physics
2019-09-17,Turbidity,12.3244,synthetic_physics
2019-09-24,Phosphorus,0.2521,synthetic_physics
2019-09-24,Nitrogen,3.7714,synthetic_physics
2019-09-24,Dissolved oxygen (DO),8.5981,synthetic_physics
2019-09-24,Chlorophyll a,33.0029,synthetic_physics
2019-09-24,Turbidity,16.1337,synthetic_physics
2019-10-01,Phosphorus,0.2686,synthetic_physics
2019-10-01,Nitrogen,2.8654,synthetic_physics
2019-10-01,Dissolved oxygen (DO),9.2227,synthetic_physics
2019-10-01,Chlorophyll a,38.2827,synthetic_physics
2019-10-01,Turbidity,13.4911,synthetic_physics
2019-10-08,Phosphorus,0.2723,synthetic_physics
2019-10-08,Nitrogen,3.5628,synthetic_physics
2019-10-08,Dissolved oxygen (DO),10.7181,synthetic_physics
2019-10-08,Chlorophyll a,42.3117,synthetic_physics
2019-10-08,Turbidity,13.3113,synthetic_physics
2019-10-15,Phosphorus,0.246,synthetic_physics
2019-10-15,Nitrogen,3.4774,synthetic_physics
2019-10-15,Dissolved oxygen (DO),11.2253,synthetic_physics
2019-10-15,Chlorophyll a,39.0142,synthetic_physics
2019-10-15,Turbidity,23.7866,synthetic_physics
2019-10-22,Phosphorus,0.3138,synthetic_physics
2019-10-22,Nitrogen,3.7861,synthetic_physics
2019-10-22,Dissolved oxygen (DO),11.3838,synthetic_physics
2019-10-22,Chlorophyll a,40.2624,synthetic_physics
2019-10-22,Turbidity,18.0949,synthetic_physics
2019-10-29,Phosphorus,0.3019,synthetic_physics
2019-10-29,Nitrogen,2.8362,synthetic_physics
2019-10-29,Dissolved oxygen (DO),11.8438,synthetic_physics
2019-10-29,Chlorophyll a,31.178,synthetic_physics
2019-10-29,Turbidity,17.6515,synthetic_physics
2019-11-05,Phosphorus,0.3115,synthetic_physics
2019-11-05,Nitrogen,2.0942,synthetic_physics
2019-11-05,Dissolved oxygen (DO),12.9488,synthetic_physics
2019-11-05,Chlorophyll a,22.5034,synthetic_physics
2019-11-05,Turbidity,15.1342,synthetic_physics
2019-11-12,Phosphorus,0.2653,synthetic_physics
2019-11-12,Nitrogen,2.8594,synthetic_physics
2019-11-12,Dissolved oxygen (DO),13.2563,synthetic_physics
2019-11-12,Chlorophyll a,23.8385,synthetic_physics
2019-11-12,Turbidity,16.0105,synthetic_physics
2019-11-19,Phosphorus,0.2069,synthetic_physics
2019-11-19,Nitrogen,2.7309,synthetic_physics
2019-11-19,Dissolved oxygen (DO),13.325,synthetic_physics
2019-11-19,Chlorophyll a,20.9237,synthetic_physics
2019-11-19,Turbidity,17.5003,synthetic_physics
2019-11-26,Phosphorus,0.3904,synthetic_physics
2019-11-26,Nitrogen,2.4237,synthetic_physics
2019-11-26,Dissolved oxygen (DO),13.4358,synthetic_physics
2019-11-26,Chlorophyll a,31.7835,synthetic_physics
2019-11-26,Turbidity,25.348,synthetic_physics
2019-12-03,Phosphorus,0.7558,synthetic_physics
2019-12-03,Nitrogen,5.5528,synthetic_physics
2019-12-03,Dissolved oxygen (DO),14.0,synthetic_physics
2019-12-03,Chlorophyll a,69.241,synthetic_physics
2019-12-03,Turbidity,47.5072,synthetic_physics
2019-12-10,Phosphorus,0.5886,synthetic_physics
2019-12-10,Nitrogen,4.3855,synthetic_physics
2019-12-10,Dissolved oxygen (DO),14.0,synthetic_physics
2019-12-10,Chlorophyll a,58.8005,synthetic_physics
2019-12-10,Turbidity,38.9888,synthetic_physics
2019-12-17,Phosphorus,0.3938,synthetic_physics
2019-12-17,Nitrogen,4.0976,synthetic_physics
2019-12-17,Dissolved oxygen (DO),14.0,synthetic_physics
2019-12-17,Chlorophyll a,40.2535,synthetic_physics
2019-12-17,Turbidity,23.4197,synthetic_physics
2019-12-24,Phosphorus,0.3165,synthetic_physics
2019-12-24,Nitrogen,3.8319,synthetic_physics
2019-12-24,Dissolved oxygen (DO),14.0,synthetic_physics
2019-12-24,Chlorophyll a,29.0511,synthetic_physics
2019-12-24,Turbidity,21.8265,synthetic_physics
2019-12-31,Phosphorus,0.3261,synthetic_physics
2019-12-31,Nitrogen,3.454,synthetic_physics
2019-12-31,Dissolved oxygen (DO),13.7126,synthetic_physics
2019-12-31,Chlorophyll a,22.2835,synthetic_physics
2019-12-31,Turbidity,20.9767,synthetic_physics
2020-01-07,Phosphorus,0.3907,synthetic_physics
2020-01-07,Nitrogen,4.4935,synthetic_physics
2020-01-07,Dissolved oxygen (DO),14.0,synthetic_physics
2020-01-07,Chlorophyll a,31.956,synthetic_physics
2020-01-07,Turbidity,26.521,synthetic_physics
2020-01-14,Phosphorus,0.516,synthetic_physics
2020-01-14,Nitrogen,3.162,synthetic_physics
2020-01-14,Dissolved oxygen (DO),14.0,synthetic_physics
2020-01-14,Chlorophyll a,41.1406,synthetic_physics
2020-01-14,Turbidity,29.1017,synthetic_physics
2020-01-21,Phosphorus,0.5428,synthetic_physics
2020-01-21,Nitrogen,4.0698,synthetic_physics
2020-01-21,Dissolved oxygen (DO),14.0,synthetic_physics
2020-01-21,Chlorophyll a,45.417,synthetic_physics
2020-01-21,Turbidity,33.4217,synthetic_physics
2020-01-28,Phosphorus,0.4287,synthetic_physics
2020-01-28,Nitrogen,3.6672,synthetic_physics
2020-01-28,Dissolved oxygen (DO),14.0,synthetic_physics
2020-01-28,Chlorophyll a,24.1114,synthetic_physics
2020-01-28,Turbidity,31.369,synthetic_physics
2020-02-04,Phosphorus,0.2654,synthetic_physics
2020-02-04,Nitrogen,2.4558,synthetic_physics
2020-02-04,Dissolved oxygen (DO),14.0,synthetic_physics
2020-02-04,Chlorophyll a,18.6833,synthetic_physics
2020-02-04,Turbidity,17.7535,synthetic_physics
2020-02-11,Phosphorus,0.3006,synthetic_physics
2020-02-11,Nitrogen,2.0314,synthetic_physics
2020-02-11,Dissolved oxygen (DO),14.0,synthetic_physics
2020-02-11,Chlorophyll a,24.8175,synthetic_physics
2020-02-11,Turbidity,19.7703,synthetic_physics
2020-02-18,Phosphorus,0.4238,synthetic_physics
2020-02-18,Nitrogen,3.5627,synthetic_physics
2020-02-18,Dissolved oxygen (DO),14.0,synthetic_physics
2020-02-18,Chlorophyll a,33.8246,synthetic_physics
2020-02-18,Turbidity,29.0683,synthetic_physics
2020-02-25,Phosphorus,0.2012,synthetic_physics
2020-02-25,Nitrogen,1.646,synthetic_physics
2020-02-25,Dissolved oxygen (DO),14.0,synthetic_physics
2020-02-25,Chlorophyll a,12.9743,synthetic_physics
2020-02-25,Turbidity,13.2385,synthetic_physics
2020-03-03,Phosphorus,0.2293,synthetic_physics
2020-03-03,Nitrogen,2.5201,synthetic_physics
2020-03-03,Dissolved oxygen (DO),14.0,synthetic_physics
2020-03-03,Chlorophyll a,10.0905,synthetic_physics
2020-03-03,Turbidity,13.4781,synthetic_physics
2020-03-10,Phosphorus,0.1647,synthetic_physics
2020-03-10,Nitrogen,2.0891,synthetic_physics
2020-03-10,Dissolved oxygen (DO),14.0,synthetic_physics
2020-03-10,Chlorophyll a,6.3637,synthetic_physics
2020-03-10,Turbidity,12.6076,synthetic_physics
2020-03-17,Phosphorus,0.1917,synthetic_physics
2020-03-17,Nitrogen,2.0838,synthetic_physics
2020-03-17,Dissolved oxygen (DO),14.0,synthetic_physics
2020-03-17,Chlorophyll a,5.4497,synthetic_physics
2020-03-17,Turbidity,11.2605,synthetic_physics
2020-03-24,Phosphorus,0.2329,synthetic_physics
2020-03-24,Nitrogen,2.1136,synthetic_physics
2020-03-24,Dissolved oxygen (DO),14.0,synthetic_physics
2020-03-24,Chlorophyll a,14.5237,synthetic_physics
2020-03-24,Turbidity,12.2267,synthetic_physics
2020-03-31,Phosphorus,0.1643,synthetic_physics
2020-03-31,Nitrogen,2.2584,synthetic_physics
2020-03-31,Dissolved oxygen (DO),14.0,synthetic_physics
2020-03-31,Chlorophyll a,10.3293,synthetic_physics
2020-03-31,Turbidity,12.6072,synthetic_physics
2020-04-07,Phosphorus,0.2081,synthetic_physics
2020-04-07,Nitrogen,1.3623,synthetic_physics
2020-04-07,Dissolved oxygen (DO),13.7487,synthetic_physics
2020-04-07,Chlorophyll a,5.8816,synthetic_physics
2020-04-07,Turbidity,14.6299,synthetic_physics
2020-04-14,Phosphorus,0.2015,synthetic_physics
2020-04-14,Nitrogen,1.4546,synthetic_physics
2020-04-14,Dissolved oxygen (DO),13.7305,synthetic_physics
2020-04-14,Chlorophyll a,12.6377,synthetic_physics
2020-04-14,Turbidity,11.2653,synthetic_physics
2020-04-21,Phosphorus,0.217,synthetic_physics
2020-04-21,Nitrogen,2.2127,synthetic_physics
2020-04-21,Dissolved oxygen (DO),13.4306,synthetic_physics
2020-04-21,Chlorophyll a,9.6557,synthetic_physics
2020-04-21,Turbidity,13.3549,synthetic_physics
2020-04-28,Phosphorus,0.2584,synthetic_physics
2020-04-28,Nitrogen,1.4826,synthetic_physics
2020-04-28,Dissolved oxygen (DO),11.563,synthetic_physics
2020-04-28,Chlorophyll a,13.2628,synthetic_physics
2020-04-28,Turbidity,15.3717,synthetic_physics
2020-05-05,Phosphorus,0.2542,synthetic_physics
2020-05-05,Nitrogen,3.0644,synthetic_physics
2020-05-05,Dissolved oxygen (DO),11.7484,synthetic_physics
2020-05-05,Chlorophyll a,16.5836,synthetic_physics
2020-05-05,Turbidity,15.2863,synthetic_physics
2020-05-12,Phosphorus,0.264,synthetic_physics
2020-05-12,Nitrogen,2.5275,synthetic_physics
2020-05-12,Dissolved oxygen (DO),11.6795,synthetic_physics
2020-05-12,Chlorophyll a,23.1673,synthetic_physics
2020-05-12,Turbidity,16.0834,synthetic_physics
2020-05-19,Phosphorus,0.2609,synthetic_physics
2020-05-19,Nitrogen,3.2807,synthetic_physics
2020-05-19,Dissolved oxygen (DO),11.3354,synthetic_physics
2020-05-19,Chlorophyll a,22.6627,synthetic_physics
2020-05-19,Turbidity,16.7424,synthetic_physics
2020-05-26,Phosphorus,0.2571,synthetic_physics
2020-05-26,Nitrogen,2.6388,synthetic_physics
2020-05-26,Dissolved oxygen (DO),10.5733,synthetic_physics
2020-05-26,Chlorophyll a,25.5718,synthetic_physics
2020-05-26,Turbidity,14.9717,synthetic_physics
2020-06-02,Phosphorus,0.3086,synthetic_physics
2020-06-02,Nitrogen,3.1163,synthetic_physics
2020-06-02,Dissolved oxygen (DO),10.2766,synthetic_physics
2020-06-02,Chlorophyll a,31.7157,synthetic_physics
2020-06-02,Turbidity,23.6388,synthetic_physics
2020-06-09,Phosphorus,0.2658,synthetic_physics
2020-06-09,Nitrogen,3.2716,synthetic_physics
2020-06-09,Dissolved oxygen (DO),8.9949,synthetic_physics
2020-06-09,Chlorophyll a,39.4969,synthetic_physics
2020-06-09,Turbidity,15.737,synthetic_physics
2020-06-16,Phosphorus,0.288,synthetic_physics
2020-06-16,Nitrogen,2.7579,synthetic_physics
2020-06-16,Dissolved oxygen (DO),8.6832,synthetic_physics
2020-06-16,Chlorophyll a,29.0463,synthetic_physics
2020-06-16,Turbidity,17.3884,synthetic_physics
2020-06-23,Phosphorus,0.3312,synthetic_physics
2020-06-23,Nitrogen,3.4461,synthetic_physics
2020-06-23,Dissolved oxygen (DO),9.2334,synthetic_physics
2020-06-23,Chlorophyll a,39.466,synthetic_physics
2020-06-23,Turbidity,19.2928,synthetic_physics
2020-06-30,Phosphorus,0.2911,synthetic_physics
2020-06-30,Nitrogen,3.297,synthetic_physics
2020-06-30,Dissolved oxygen (DO),8.041,synthetic_physics
2020-06-30,Chlorophyll a,44.1719,synthetic_physics
2020-06-30,Turbidity,21.8515,synthetic_physics
2020-07-07,Phosphorus,0.3693,synthetic_physics
2020-07-07,Nitrogen,3.3401,synthetic_physics
