ActivityStartDate,CharacteristicName,ResultMeasureValue,source
2019-01-01,Phosphorus,0.1969,synthetic_physics
2019-01-01,Nitrogen,1.7572,synthetic_physics
2019-01-01,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-01,Chlorophyll a,13.5203,synthetic_physics
2019-01-01,Turbidity,10.654,synthetic_physics
2019-01-08,Phosphorus,0.3413,synthetic_physics
2019-01-08,Nitrogen,3.5453,synthetic_physics
2019-01-08,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-08,Chlorophyll a,6.9453,synthetic_physics
2019-01-08,Turbidity,22.7973,synthetic_physics
2019-01-15,Phosphorus,0.5235,synthetic_physics
2019-01-15,Nitrogen,3.6326,synthetic_physics
2019-01-15,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-15,Chlorophyll a,4.1873,synthetic_physics
2019-01-15,Turbidity,30.6936,synthetic_physics
2019-01-22,Phosphorus,0.7089,synthetic_physics
2019-01-22,Nitrogen,4.4794,synthetic_physics
2019-01-22,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-22,Chlorophyll a,13.8863,synthetic_physics
2019-01-22,Turbidity,43.7818,synthetic_physics
2019-01-29,Phosphorus,0.9373,synthetic_physics
2019-01-29,Nitrogen,6.005,synthetic_physics
2019-01-29,Dissolved oxygen (DO),14.0,synthetic_physics
2019-01-29,Chlorophyll a,16.2092,synthetic_physics
2019-01-29,Turbidity,58.0157,synthetic_physics
2019-02-05,Phosphorus,0.8429,synthetic_physics
2019-02-05,Nitrogen,5.1191,synthetic_physics
2019-02-05,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-05,Chlorophyll a,25.4892,synthetic_physics
2019-02-05,Turbidity,54.0894,synthetic_physics
2019-02-12,Phosphorus,0.762,synthetic_physics
2019-02-12,Nitrogen,6.2108,synthetic_physics
2019-02-12,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-12,Chlorophyll a,28.6313,synthetic_physics
2019-02-12,Turbidity,51.9263,synthetic_physics
2019-02-19,Phosphorus,0.6837,synthetic_physics
2019-02-19,Nitrogen,4.9932,synthetic_physics
2019-02-19,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-19,Chlorophyll a,32.9859,synthetic_physics
2019-02-19,Turbidity,46.3253,synthetic_physics
2019-02-26,Phosphorus,0.8162,synthetic_physics
2019-02-26,Nitrogen,5.5861,synthetic_physics
2019-02-26,Dissolved oxygen (DO),14.0,synthetic_physics
2019-02-26,Chlorophyll a,38.7119,synthetic_physics
2019-02-26,Turbidity,49.0679,synthetic_physics
2019-03-05,Phosphorus,0.747,synthetic_physics
