Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality,source
SRB00001,Bezdan,2013-01-09,O2-Dis,,11.9,mg/l,Fair,original
SRB00001,Bezdan,2013-02-06,O2-Dis,,12.4,mg/l,Fair,original
SRB00001,Bezdan,2013-03-06,O2-Dis,,12.5,mg/l,Fair,original
SRB00001,Bezdan,2013-04-03,O2-Dis,,12.5,mg/l,Fair,original
SRB00001,Bezdan,2013-05-08,O2-Dis,,9.4,mg/l,Fair,original
SRB00001,Bezdan,2013-06-05,O2-Dis,,9.7,mg/l,Fair,original
SRB00001,Bezdan,2013-07-03,O2-Dis,,8.7,mg/l,Fair,original
SRB00001,Bezdan,2013-08-07,O2-Dis,,10.8,mg/l,Fair,original
SRB00001,Bezdan,2013-09-04,O2-Dis,,8.2,mg/l,Fair,original
SRB00001,Bezdan,2013-10-02,O2-Dis,,9.6,mg/l,Fair,original
SRB00001,Bezdan,2013-11-06,O2-Dis,,10.0,mg/l,Fair,original
SRB00001,Bezdan,2013-12-04,O2-Dis,,12.0,mg/l,Fair,original
SRB00001,Bezdan,2014-01-28,O2-Dis,,12.7,mg/l,Fair,original
SRB00001,Bezdan,2014-02-05,O2-Dis,,13.4,mg/l,Fair,original
SRB00001,Bezdan,2014-03-05,O2-Dis,,12.8,mg/l,Fair,original
SRB00001,Bezdan,2014-04-02,O2-Dis,,13.4,mg/l,Fair,original
SRB00001,Bezdan,2014-05-07,O2-Dis,,11.0,mg/l,Fair,original
SRB00001,Bezdan,2014-06-04,O2-Dis,,9.3,mg/l,Fair,original
SRB00001,Bezdan,2014-07-02,O2-Dis,,8.4,mg/l,Fair,original
SRB00001,Bezdan,2014-08-06,O2-Dis,,7.9,mg/l,Fair,original
SRB00001,Bezdan,2014-09-10,O2-Dis,,8.8,mg/l,Fair,original
SRB00001,Bezdan,2014-10-01,O2-Dis,,9.1,mg/l,Fair,original
SRB00001,Bezdan,2014-11-05,O2-Dis,,10.6,mg/l,Fair,original
SRB00001,Bezdan,2014-12-03,O2-Dis,,11.5,mg/l,Fair,original
SRB00001,Bezdan,2015-01-14,O2-Dis,,12.2,mg/l,Fair,original
SRB00001,Bezdan,2015-02-04,O2-Dis,,12.1,mg/l,Fair,original
SRB00001,Bezdan,2015-03-04,O2-Dis,,12.0,mg/l,Fair,original
SRB00001,Bezdan,2015-04-01,O2-Dis,,12.0,mg/l,Fair,original
SRB00001,Bezdan,2015-05-06,O2-Dis,,11.3,mg/l,Fair,original
SRB00001,Bezdan,2015-06-03,O2-Dis,,9.5,mg/l,Fair,original
SRB00001,Bezdan,2015-07-08,O2-Dis,,9.9,mg/l,Fair,original
SRB00001,Bezdan,2015-08-05,O2-Dis,,10.2,mg/l,Fair,original
SRB00001,Bezdan,2015-09-02,O2-Dis,,9.1,mg/l,Fair,original
SRB00001,Bezdan,2015-10-07,O2-Dis,,9.6,mg/l,Fair,original
SRB00001,Bezdan,2015-11-12,O2-Dis,,11.1,mg/l,Fair,original
SRB00001,Bezdan,2015-12-02,O2-Dis,,11.4,mg/l,Fair,original
SRB00001,Bezdan,2016-01-13,O2-Dis,,12.5,mg/l,Fair,original
SRB00001,Bezdan,2016-02-03,O2-Dis,,13.1,mg/l,Fair,original
SRB00001,Bezdan,2016-03-02,O2-Dis,,11.6,mg/l,Fair,original
