Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality,source
SRB00001,Bezdan,2014-01-28,Chl-a,,0.0035,mg/l,Fair,original
SRB00001,Bezdan,2014-01-29,Chl-a,,0.004,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2014-01-29,Chl-a,,0.0035,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2014-01-30,Chl-a,,0.0011,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2014-02-02,Chl-a,,0.0068,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2014-02-04,Chl-a,,0.0061,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2014-02-05,Chl-a,,0.0059,mg/l,Fair,original
SRB00001,Bezdan,2014-02-07,Chl-a,,0.0061,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2014-03-04,Chl-a,,0.0491,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2014-03-05,Chl-a,,0.0498,mg/l,Fair,original
SRB00001,Bezdan,2014-03-06,Chl-a,,0.0504,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2014-03-06,Chl-a,,0.0506,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2014-04-02,Chl-a,,0.0628,mg/l,Fair,original
SRB00001,Bezdan,2014-04-03,Chl-a,,0.0643,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2014-04-04,Chl-a,,0.063,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2014-04-05,Chl-a,,0.063,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2014-05-04,Chl-a,,0.0443,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2014-05-06,Chl-a,,0.0439,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2014-05-07,Chl-a,,0.0426,mg/l,Fair,original
SRB00001,Bezdan,2014-05-08,Chl-a,,0.041,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2014-06-01,Chl-a,,0.0033,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2014-06-02,Chl-a,,0.0034,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2014-06-04,Chl-a,,0.0024,mg/l,Fair,original
SRB00001,Bezdan,2014-06-06,Chl-a,,0.002,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2014-06-30,Chl-a,,0.005,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2014-07-01,Chl-a,,0.0061,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2014-07-01,Chl-a,,0.0053,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2014-07-02,Chl-a,,0.0047,mg/l,Fair,original
SRB00001,Bezdan,2014-08-06,Chl-a,,0.0024,mg/l,Fair,original
SRB00001,Bezdan,2014-08-07,Chl-a,,0.0037,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2014-08-08,Chl-a,,0.0023,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2014-08-09,Chl-a,,0.0029,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2014-09-07,Chl-a,,0.0014,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2014-09-08,Chl-a,,0.0002,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2014-09-10,Chl-a,,0.0012,mg/l,Fair,original
SRB00001,Bezdan,2014-09-13,Chl-a,,0.0,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2014-09-28,Chl-a,,0.0002,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2014-10-01,Chl-a,,0.0012,mg/l,Fair,original
SRB00001,Bezdan,2014-10-02,Chl-a,,0.0014,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2014-10-04,Chl-a,,0.0016,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2014-11-02,Chl-a,,0.0017,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2014-11-04,Chl-a,,0.0001,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2014-11-05,Chl-a,,0.0012,mg/l,Fair,original
SRB00001,Bezdan,2014-11-06,Chl-a,,0.0004,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2014-12-01,Chl-a,,0.0032,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2014-12-02,Chl-a,,0.0028,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2014-12-03,Chl-a,,0.0036,mg/l,Fair,original
SRB00001,Bezdan,2014-12-05,Chl-a,,0.0043,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2015-01-13,Chl-a,,0.0036,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2015-01-14,Chl-a,,0.0051,mg/l,Fair,original
SRB00001,Bezdan,2015-01-16,Chl-a,,0.0046,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2015-01-17,Chl-a,,0.0042,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2015-02-02,Chl-a,,0.003,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2015-02-04,Chl-a,,0.0024,mg/l,Fair,original
SRB00001,Bezdan,2015-02-05,Chl-a,,0.0036,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2015-02-06,Chl-a,,0.0007,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2015-03-03,Chl-a,,0.0151,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2015-03-04,Chl-a,,0.0142,mg/l,Fair,original
SRB00001,Bezdan,2015-03-05,Chl-a,,0.0136,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2015-03-06,Chl-a,,0.0151,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2015-03-30,Chl-a,,0.0399,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2015-04-01,Chl-a,,0.0395,mg/l,Fair,original
SRB00001,Bezdan,2015-04-03,Chl-a,,0.0402,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2015-04-04,Chl-a,,0.0403,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2015-05-03,Chl-a,,0.036,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2015-05-05,Chl-a,,0.0362,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2015-05-06,Chl-a,,0.0355,mg/l,Fair,original
SRB00001,Bezdan,2015-05-07,Chl-a,,0.0372,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2015-06-01,Chl-a,,0.0065,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2015-06-02,Chl-a,,0.005,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2015-06-03,Chl-a,,0.0059,mg/l,Fair,original
SRB00001,Bezdan,2015-06-05,Chl-a,,0.0063,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2015-07-06,Chl-a,,0.0148,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2015-07-08,Chl-a,,0.0166,mg/l,Fair,original
SRB00001,Bezdan,2015-07-09,Chl-a,,0.0154,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2015-07-11,Chl-a,,0.0157,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2015-08-03,Chl-a,,0.0332,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2015-08-05,Chl-a,,0.0343,mg/l,Fair,original
SRB00001,Bezdan,2015-08-08,Chl-a,,0.0363,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2015-08-08,Chl-a,,0.0341,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2015-09-02,Chl-a,,0.0107,mg/l,Fair,original
SRB00001,Bezdan,2015-09-03,Chl-a,,0.0122,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2015-09-03,Chl-a,,0.0095,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2015-09-05,Chl-a,,0.0103,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2015-10-04,Chl-a,,0.0065,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2015-10-04,Chl-a,,0.0068,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2015-10-07,Chl-a,,0.0071,mg/l,Fair,original
SRB00001,Bezdan,2015-10-09,Chl-a,,0.0089,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2015-11-10,Chl-a,,0.0015,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2015-11-11,Chl-a,,0.0001,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2015-11-12,Chl-a,,0.0012,mg/l,Fair,original
