Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality,source
SRB00001,Bezdan,2013-01-06,O2-Dis,,12.1008,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2013-01-08,O2-Dis,,12.0849,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2013-01-09,O2-Dis,,11.9,mg/l,Fair,original
SRB00001,Bezdan,2013-01-11,O2-Dis,,11.7982,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2013-02-03,O2-Dis,,12.3337,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2013-02-06,O2-Dis,,12.4,mg/l,Fair,original
SRB00001,Bezdan,2013-02-07,O2-Dis,,12.3071,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2013-02-09,O2-Dis,,12.3715,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2013-03-05,O2-Dis,,12.4974,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2013-03-06,O2-Dis,,12.5,mg/l,Fair,original
SRB00001,Bezdan,2013-03-07,O2-Dis,,12.598,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2013-03-09,O2-Dis,,12.5257,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2013-03-31,O2-Dis,,12.3551,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2013-03-31,O2-Dis,,12.543,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2013-04-01,O2-Dis,,12.4161,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2013-04-03,O2-Dis,,12.5,mg/l,Fair,original
SRB00001,Bezdan,2013-05-07,O2-Dis,,9.4278,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2013-05-08,O2-Dis,,9.4,mg/l,Fair,original
SRB00001,Bezdan,2013-05-10,O2-Dis,,9.3152,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2013-05-10,O2-Dis,,9.5279,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2013-06-02,O2-Dis,,9.7252,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2013-06-05,O2-Dis,,9.7,mg/l,Fair,original
SRB00001,Bezdan,2013-06-06,O2-Dis,,9.6903,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2013-06-08,O2-Dis,,9.8142,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2013-07-02,O2-Dis,,8.7211,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2013-07-03,O2-Dis,,8.7,mg/l,Fair,original
SRB00001,Bezdan,2013-07-05,O2-Dis,,8.5382,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2013-07-06,O2-Dis,,8.647,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2013-08-04,O2-Dis,,10.7564,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2013-08-05,O2-Dis,,10.8915,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2013-08-07,O2-Dis,,10.8,mg/l,Fair,original
SRB00001,Bezdan,2013-08-08,O2-Dis,,10.8697,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2013-09-01,O2-Dis,,8.0739,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2013-09-02,O2-Dis,,8.2268,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2013-09-04,O2-Dis,,8.2,mg/l,Fair,original
SRB00001,Bezdan,2013-09-06,O2-Dis,,8.1497,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2013-09-30,O2-Dis,,9.7544,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2013-10-02,O2-Dis,,9.6,mg/l,Fair,original
SRB00001,Bezdan,2013-10-03,O2-Dis,,9.6801,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2013-10-03,O2-Dis,,9.4788,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2013-11-05,O2-Dis,,9.9908,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2013-11-05,O2-Dis,,10.0293,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2013-11-06,O2-Dis,,10.0,mg/l,Fair,original
SRB00001,Bezdan,2013-11-08,O2-Dis,,10.0412,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2013-12-01,O2-Dis,,11.9187,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2013-12-04,O2-Dis,,12.0,mg/l,Fair,original
SRB00001,Bezdan,2013-12-06,O2-Dis,,11.9991,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2013-12-07,O2-Dis,,11.9511,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2014-01-26,O2-Dis,,12.7425,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2014-01-26,O2-Dis,,12.8452,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2014-01-28,O2-Dis,,12.7,mg/l,Fair,original
SRB00001,Bezdan,2014-01-31,O2-Dis,,12.6896,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2014-02-02,O2-Dis,,13.5511,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2014-02-03,O2-Dis,,13.4913,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2014-02-05,O2-Dis,,13.4,mg/l,Fair,original
SRB00001,Bezdan,2014-02-07,O2-Dis,,13.546,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2014-03-02,O2-Dis,,12.7435,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2014-03-04,O2-Dis,,12.7973,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2014-03-05,O2-Dis,,12.8,mg/l,Fair,original
SRB00001,Bezdan,2014-03-08,O2-Dis,,12.6974,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2014-04-01,O2-Dis,,13.439,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2014-04-02,O2-Dis,,13.4,mg/l,Fair,original
SRB00001,Bezdan,2014-04-03,O2-Dis,,13.5492,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2014-04-04,O2-Dis,,13.2986,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2014-05-04,O2-Dis,,11.1007,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2014-05-05,O2-Dis,,11.0449,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2014-05-06,O2-Dis,,10.9604,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2014-05-07,O2-Dis,,11.0,mg/l,Fair,original
SRB00001,Bezdan,2014-06-02,O2-Dis,,9.3864,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2014-06-04,O2-Dis,,9.3,mg/l,Fair,original
SRB00001,Bezdan,2014-06-05,O2-Dis,,9.5376,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2014-06-07,O2-Dis,,9.3473,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2014-06-30,O2-Dis,,8.4803,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2014-07-01,O2-Dis,,8.3823,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2014-07-02,O2-Dis,,8.4,mg/l,Fair,original
SRB00001,Bezdan,2014-07-04,O2-Dis,,8.4349,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2014-08-06,O2-Dis,,7.9,mg/l,Fair,original
SRB00001,Bezdan,2014-08-07,O2-Dis,,7.7793,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2014-08-08,O2-Dis,,7.9098,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2014-08-09,O2-Dis,,7.7846,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2014-09-07,O2-Dis,,8.6995,mg/l,Fair,augmented_copy3_jitter-3d
