Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality,source
SRB00001,Bezdan,2000-01-10,NO3N,,3.3873,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2000-01-11,NO3N,,3.3543,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2000-01-12,NO3N,,3.41768950956,mg/l,Fair,original
SRB00001,Bezdan,2000-01-13,NO3N,,3.3746,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2000-02-06,NO3N,,3.3456,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2000-02-07,NO3N,,3.3669,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2000-02-09,NO3N,,3.45766248628,mg/l,Fair,original
SRB00001,Bezdan,2000-02-12,NO3N,,3.4793,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2000-03-07,NO3N,,3.3152,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2000-03-08,NO3N,,3.2478043585,mg/l,Fair,original
SRB00001,Bezdan,2000-03-09,NO3N,,3.2352,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2000-03-11,NO3N,,3.2815,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2000-04-09,NO3N,,2.7863,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2000-04-11,NO3N,,2.776,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2000-04-12,NO3N,,2.77812188204,mg/l,Fair,original
SRB00001,Bezdan,2000-04-13,NO3N,,2.775,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2000-05-08,NO3N,,1.9287,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2000-05-10,NO3N,,1.91870288256,mg/l,Fair,original
SRB00001,Bezdan,2000-05-11,NO3N,,1.9614,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2000-05-12,NO3N,,1.872,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2000-06-13,NO3N,,1.1493,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2000-06-14,NO3N,,1.1492230807,mg/l,Fair,original
SRB00001,Bezdan,2000-06-15,NO3N,,1.1807,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2000-06-16,NO3N,,1.1732,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2000-07-11,NO3N,,0.347,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2000-07-12,NO3N,,0.32977705794,mg/l,Fair,original
SRB00001,Bezdan,2000-07-14,NO3N,,0.3162,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2000-07-15,NO3N,,0.2918,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2000-08-06,NO3N,,1.422,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2000-08-08,NO3N,,1.3903,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2000-08-09,NO3N,,1.41904067356,mg/l,Fair,original
SRB00001,Bezdan,2000-08-11,NO3N,,1.4413,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2000-09-10,NO3N,,1.5032,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2000-09-12,NO3N,,1.4338,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2000-09-13,NO3N,,1.46900689446,mg/l,Fair,original
SRB00001,Bezdan,2000-09-15,NO3N,,1.4241,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2000-10-09,NO3N,,1.8119,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2000-10-12,NO3N,,1.7987839524,mg/l,Fair,original
SRB00001,Bezdan,2000-10-14,NO3N,,1.7995,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2000-10-15,NO3N,,1.8208,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2000-11-06,NO3N,,2.1262,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2000-11-06,NO3N,,2.1087,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2000-11-08,NO3N,,2.0985812778,mg/l,Fair,original
