Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality,source
SRB00001,Bezdan,2000-01-09,BOD,,2.7978,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2000-01-12,BOD,,2.8,mg/l,Fair,original
SRB00001,Bezdan,2000-01-15,BOD,,2.6911,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2000-01-15,BOD,,2.8174,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2000-02-06,BOD,,1.2828,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2000-02-07,BOD,,1.2231,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2000-02-07,BOD,,1.1387,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2000-02-09,BOD,,1.2,mg/l,Fair,original
SRB00001,Bezdan,2000-03-08,BOD,,3.0,mg/l,Fair,original
SRB00001,Bezdan,2000-03-09,BOD,,3.0191,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2000-03-09,BOD,,3.0326,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2000-03-09,BOD,,2.9321,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2000-04-09,BOD,,1.53,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2000-04-10,BOD,,1.6272,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2000-04-11,BOD,,1.5282,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2000-04-12,BOD,,1.6,mg/l,Fair,original
SRB00001,Bezdan,2000-05-08,BOD,,3.5854,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2000-05-10,BOD,,3.6,mg/l,Fair,original
SRB00001,Bezdan,2000-05-11,BOD,,3.6469,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2000-05-12,BOD,,3.603,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2000-06-12,BOD,,3.9326,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2000-06-14,BOD,,4.0,mg/l,Fair,original
SRB00001,Bezdan,2000-06-17,BOD,,3.9657,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2000-06-17,BOD,,3.915,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2000-07-09,BOD,,5.558,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2000-07-09,BOD,,5.6162,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2000-07-10,BOD,,5.5797,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2000-07-12,BOD,,5.6,mg/l,Fair,original
SRB00001,Bezdan,2000-08-07,BOD,,3.3049,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2000-08-08,BOD,,3.414,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2000-08-08,BOD,,3.371,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2000-08-09,BOD,,3.3,mg/l,Fair,original
SRB00001,Bezdan,2000-09-10,BOD,,3.8004,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2000-09-13,BOD,,3.8,mg/l,Fair,original
SRB00001,Bezdan,2000-09-16,BOD,,3.7409,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2000-09-16,BOD,,3.7863,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2000-10-10,BOD,,2.2601,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2000-10-12,BOD,,2.2,mg/l,Fair,original
SRB00001,Bezdan,2000-10-13,BOD,,2.2505,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2000-10-15,BOD,,2.1934,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2000-11-08,BOD,,1.9,mg/l,Fair,original
SRB00001,Bezdan,2000-11-09,BOD,,1.9213,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2000-11-11,BOD,,1.8684,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2000-11-11,BOD,,1.9698,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2000-12-10,BOD,,2.0118,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2000-12-13,BOD,,2.0,mg/l,Fair,original
SRB00001,Bezdan,2000-12-14,BOD,,1.9766,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2000-12-15,BOD,,2.0075,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2001-01-07,BOD,,2.5788,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2001-01-09,BOD,,2.7381,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2001-01-10,BOD,,2.6,mg/l,Fair,original
