Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality,source
SRB00001,Bezdan,2013-01-09,TP,,0.096,mg/l,Fair,original
SRB00001,Bezdan,2013-01-11,TP,,0.0951,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2013-01-11,TP,,0.1027,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2013-01-12,TP,,0.0944,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2013-02-05,TP,,0.1102,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2013-02-06,TP,,0.108,mg/l,Fair,original
SRB00001,Bezdan,2013-02-09,TP,,0.1054,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2013-02-09,TP,,0.1044,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2013-03-05,TP,,0.1311,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2013-03-05,TP,,0.1295,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2013-03-06,TP,,0.128,mg/l,Fair,original
SRB00001,Bezdan,2013-03-07,TP,,0.125,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2013-04-02,TP,,0.1319,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2013-04-03,TP,,0.139,mg/l,Fair,original
SRB00001,Bezdan,2013-04-04,TP,,0.1346,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2013-04-05,TP,,0.1424,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2013-05-07,TP,,0.1205,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2013-05-08,TP,,0.122,mg/l,Fair,original
SRB00001,Bezdan,2013-05-09,TP,,0.1153,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2013-05-09,TP,,0.1176,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2013-06-03,TP,,0.1204,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2013-06-04,TP,,0.1066,mg/l,Fair,augmented_copy2_jitter-1d
SRB00001,Bezdan,2013-06-05,TP,,0.113,mg/l,Fair,original
SRB00001,Bezdan,2013-06-06,TP,,0.1123,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2013-07-01,TP,,0.2083,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2013-07-02,TP,,0.2036,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2013-07-03,TP,,0.209,mg/l,Fair,original
SRB00001,Bezdan,2013-07-06,TP,,0.213,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2013-08-05,TP,,0.0927,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2013-08-05,TP,,0.0911,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2013-08-07,TP,,0.089,mg/l,Fair,original
SRB00001,Bezdan,2013-08-10,TP,,0.0873,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2013-09-01,TP,,0.1137,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2013-09-04,TP,,0.11,mg/l,Fair,original
SRB00001,Bezdan,2013-09-06,TP,,0.1079,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2013-09-06,TP,,0.1112,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2013-09-29,TP,,0.9308,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2013-09-30,TP,,0.9334,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2013-10-02,TP,,0.93,mg/l,Fair,original
SRB00001,Bezdan,2013-10-04,TP,,0.9272,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2013-11-03,TP,,0.1023,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2013-11-04,TP,,0.1125,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2013-11-06,TP,,0.109,mg/l,Fair,original
SRB00001,Bezdan,2013-11-07,TP,,0.1084,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2013-12-04,TP,,0.106,mg/l,Fair,original
SRB00001,Bezdan,2013-12-05,TP,,0.1088,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2013-12-06,TP,,0.107,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2013-12-06,TP,,0.1033,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2014-01-26,TP,,0.0988,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2014-01-27,TP,,0.1069,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2014-01-28,TP,,0.1,mg/l,Fair,original
SRB00001,Bezdan,2014-01-29,TP,,0.0997,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2014-02-02,TP,,0.0831,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2014-02-02,TP,,0.0853,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2014-02-05,TP,,0.09,mg/l,Fair,original
SRB00001,Bezdan,2014-02-08,TP,,0.0867,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2014-03-04,TP,,0.1087,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2014-03-05,TP,,0.111,mg/l,Fair,original
SRB00001,Bezdan,2014-03-08,TP,,0.1095,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2014-03-08,TP,,0.1102,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2014-03-30,TP,,0.1008,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2014-03-31,TP,,0.1016,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2014-04-02,TP,,0.096,mg/l,Fair,original
SRB00001,Bezdan,2014-04-04,TP,,0.1046,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2014-05-07,TP,,0.109,mg/l,Fair,original
SRB00001,Bezdan,2014-05-08,TP,,0.1087,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2014-05-08,TP,,0.1065,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2014-05-10,TP,,0.1057,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2014-06-02,TP,,0.1159,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2014-06-04,TP,,0.113,mg/l,Fair,original
SRB00001,Bezdan,2014-06-05,TP,,0.1094,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2014-06-07,TP,,0.1196,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2014-07-02,TP,,0.098,mg/l,Fair,original
SRB00001,Bezdan,2014-07-03,TP,,0.0977,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2014-07-04,TP,,0.0958,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2014-07-05,TP,,0.0945,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2014-08-06,TP,,0.212,mg/l,Fair,original
SRB00001,Bezdan,2014-08-09,TP,,0.2097,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2014-08-09,TP,,0.214,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2014-08-09,TP,,0.2147,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2014-09-07,TP,,0.1732,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2014-09-07,TP,,0.1661,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2014-09-09,TP,,0.1704,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2014-09-10,TP,,0.171,mg/l,Fair,original
SRB00001,Bezdan,2014-09-30,TP,,0.1285,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2014-10-01,TP,,0.119,mg/l,Fair,original
SRB00001,Bezdan,2014-10-02,TP,,0.1237,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2014-10-03,TP,,0.1184,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2014-11-03,TP,,0.1225,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2014-11-03,TP,,0.1279,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2014-11-05,TP,,0.123,mg/l,Fair,original
SRB00001,Bezdan,2014-11-07,TP,,0.1184,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2014-12-01,TP,,0.113,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2014-12-01,TP,,0.1213,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2014-12-03,TP,,0.114,mg/l,Fair,original
SRB00001,Bezdan,2014-12-06,TP,,0.1143,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2015-01-11,TP,,0.1681,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2015-01-12,TP,,0.1749,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2015-01-12,TP,,0.1787,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2015-01-14,TP,,0.173,mg/l,Fair,original
SRB00001,Bezdan,2015-02-02,TP,,0.1028,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2015-02-04,TP,,0.103,mg/l,Fair,original
SRB00001,Bezdan,2015-02-05,TP,,0.1063,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2015-02-07,TP,,0.1001,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2015-03-01,TP,,0.0971,mg/l,Fair,augmented_copy3_jitter-3d
SRB00001,Bezdan,2015-03-04,TP,,0.097,mg/l,Fair,original
SRB00001,Bezdan,2015-03-06,TP,,0.0962,mg/l,Fair,augmented_copy1_jitter+2d
SRB00001,Bezdan,2015-03-07,TP,,0.1039,mg/l,Fair,augmented_copy2_jitter+3d
SRB00001,Bezdan,2015-03-31,TP,,0.0773,mg/l,Fair,augmented_copy1_jitter-1d
SRB00001,Bezdan,2015-04-01,TP,,0.079,mg/l,Fair,original
SRB00001,Bezdan,2015-04-02,TP,,0.082,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2015-04-03,TP,,0.086,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2015-05-03,TP,,0.0699,mg/l,Fair,augmented_copy2_jitter-3d
SRB00001,Bezdan,2015-05-05,TP,,0.0746,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2015-05-06,TP,,0.072,mg/l,Fair,original
SRB00001,Bezdan,2015-05-07,TP,,0.0744,mg/l,Fair,augmented_copy1_jitter+1d
SRB00001,Bezdan,2015-06-03,TP,,0.137,mg/l,Fair,original
SRB00001,Bezdan,2015-06-05,TP,,0.1372,mg/l,Fair,augmented_copy2_jitter+2d
SRB00001,Bezdan,2015-06-05,TP,,0.1384,mg/l,Fair,augmented_copy3_jitter+2d
SRB00001,Bezdan,2015-06-06,TP,,0.1397,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2015-07-06,TP,,0.1055,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2015-07-08,TP,,0.103,mg/l,Fair,original
SRB00001,Bezdan,2015-07-11,TP,,0.1001,mg/l,Fair,augmented_copy1_jitter+3d
SRB00001,Bezdan,2015-07-11,TP,,0.1028,mg/l,Fair,augmented_copy3_jitter+3d
SRB00001,Bezdan,2015-08-02,TP,,0.1038,mg/l,Fair,augmented_copy1_jitter-3d
SRB00001,Bezdan,2015-08-04,TP,,0.1019,mg/l,Fair,augmented_copy3_jitter-1d
SRB00001,Bezdan,2015-08-05,TP,,0.102,mg/l,Fair,original
SRB00001,Bezdan,2015-08-06,TP,,0.0994,mg/l,Fair,augmented_copy2_jitter+1d
SRB00001,Bezdan,2015-08-31,TP,,0.0955,mg/l,Fair,augmented_copy1_jitter-2d
SRB00001,Bezdan,2015-08-31,TP,,0.0963,mg/l,Fair,augmented_copy2_jitter-2d
SRB00001,Bezdan,2015-09-02,TP,,0.094,mg/l,Fair,original
SRB00001,Bezdan,2015-09-03,TP,,0.0922,mg/l,Fair,augmented_copy3_jitter+1d
SRB00001,Bezdan,2015-10-05,TP,,0.0725,mg/l,Fair,augmented_copy3_jitter-2d
SRB00001,Bezdan,2015-10-07,TP,,0.07,mg/l,Fair,original
