Station_ID,Station_Name,Date,river_discharge_m3s
SRB00001,Bezdan,2013-01-01,3680.29
SRB00001,Bezdan,2013-01-02,3646.54
SRB00001,Bezdan,2013-01-03,3490.4
SRB00001,Bezdan,2013-01-04,3272.41
SRB00001,Bezdan,2013-01-05,3060.96
SRB00001,Bezdan,2013-01-06,2869.78
SRB00001,Bezdan,2013-01-07,2797.98
SRB00001,Bezdan,2013-01-08,3514.6
SRB00001,Bezdan,2013-01-09,5092.31
SRB00001,Bezdan,2013-01-10,5570.86
SRB00001,Bezdan,2013-01-11,5344.64
SRB00001,Bezdan,2013-01-12,4976.37
SRB00001,Bezdan,2013-01-13,4601.57
SRB00001,Bezdan,2013-01-14,4225.69
SRB00001,Bezdan,2013-01-15,3853.78
SRB00001,Bezdan,2013-01-16,3506.52
SRB00001,Bezdan,2013-01-17,3183.2
SRB00001,Bezdan,2013-01-18,2909.72
SRB00001,Bezdan,2013-01-19,2678.17
SRB00001,Bezdan,2013-01-20,2482.13
SRB00001,Bezdan,2013-01-21,2321.74
SRB00001,Bezdan,2013-01-22,2191.81
SRB00001,Bezdan,2013-01-23,2122.24
SRB00001,Bezdan,2013-01-24,2097.94
SRB00001,Bezdan,2013-01-25,2064.38
SRB00001,Bezdan,2013-01-26,2003.47
SRB00001,Bezdan,2013-01-27,1926.53
SRB00001,Bezdan,2013-01-28,1848.27
SRB00001,Bezdan,2013-01-29,1765.04
SRB00001,Bezdan,2013-01-30,1689.44
SRB00001,Bezdan,2013-01-31,1624.55
SRB00001,Bezdan,2013-02-01,1609.65
SRB00001,Bezdan,2013-02-02,1944.36
SRB00001,Bezdan,2013-02-03,3257.37
SRB00001,Bezdan,2013-02-04,4354.12
SRB00001,Bezdan,2013-02-05,4919.39
SRB00001,Bezdan,2013-02-06,5259.17
SRB00001,Bezdan,2013-02-07,5283.45
SRB00001,Bezdan,2013-02-08,5175.07
SRB00001,Bezdan,2013-02-09,5010.87
SRB00001,Bezdan,2013-02-10,4741.42
SRB00001,Bezdan,2013-02-11,4364.16
SRB00001,Bezdan,2013-02-12,3989.25
SRB00001,Bezdan,2013-02-13,3629.78
SRB00001,Bezdan,2013-02-14,3325.6
SRB00001,Bezdan,2013-02-15,3075.1
SRB00001,Bezdan,2013-02-16,2863.18
SRB00001,Bezdan,2013-02-17,2672.01
SRB00001,Bezdan,2013-02-18,2499.35
SRB00001,Bezdan,2013-02-19,2348.63
SRB00001,Bezdan,2013-02-20,2222.31
SRB00001,Bezdan,2013-02-21,2136.96
SRB00001,Bezdan,2013-02-22,2073.91
SRB00001,Bezdan,2013-02-23,2012.72
SRB00001,Bezdan,2013-02-24,1962.36
SRB00001,Bezdan,2013-02-25,1935.42
SRB00001,Bezdan,2013-02-26,1953.34
SRB00001,Bezdan,2013-02-27,2012.72
SRB00001,Bezdan,2013-02-28,2117.36
SRB00001,Bezdan,2013-03-01,2268.86
SRB00001,Bezdan,2013-03-02,2397.83
SRB00001,Bezdan,2013-03-03,2493.6
SRB00001,Bezdan,2013-03-04,2557.59
SRB00001,Bezdan,2013-03-05,2587.21
SRB00001,Bezdan,2013-03-06,2551.7
SRB00001,Bezdan,2013-03-07,2453.71
SRB00001,Bezdan,2013-03-08,2321.74
SRB00001,Bezdan,2013-03-09,2212.09
SRB00001,Bezdan,2013-03-10,2253.24
SRB00001,Bezdan,2013-03-11,2647.5
SRB00001,Bezdan,2013-03-12,3257.37
SRB00001,Bezdan,2013-03-13,3638.15
SRB00001,Bezdan,2013-03-14,3783.43
SRB00001,Bezdan,2013-03-15,3818.44
SRB00001,Bezdan,2013-03-16,3774.72
SRB00001,Bezdan,2013-03-17,3654.95
SRB00001,Bezdan,2013-03-18,3466.37
SRB00001,Bezdan,2013-03-19,3249.87
SRB00001,Bezdan,2013-03-20,3068.02
SRB00001,Bezdan,2013-03-21,2963.83
SRB00001,Bezdan,2013-03-22,2916.43
SRB00001,Bezdan,2013-03-23,2943.42
SRB00001,Bezdan,2013-03-24,3025.91
SRB00001,Bezdan,2013-03-25,3032.89
SRB00001,Bezdan,2013-03-26,2923.15
SRB00001,Bezdan,2013-03-27,2746.89
SRB00001,Bezdan,2013-03-28,2563.48
SRB00001,Bezdan,2013-03-29,2403.36
SRB00001,Bezdan,2013-03-30,2300.44
SRB00001,Bezdan,2013-03-31,2284.6
SRB00001,Bezdan,2013-04-01,2392.32
SRB00001,Bezdan,2013-04-02,2617.18
SRB00001,Bezdan,2013-04-03,2863.18
SRB00001,Bezdan,2013-04-04,3139.51
SRB00001,Bezdan,2013-04-05,3356.38
SRB00001,Bezdan,2013-04-06,3348.66
SRB00001,Bezdan,2013-04-07,3175.87
SRB00001,Bezdan,2013-04-08,2963.83
SRB00001,Bezdan,2013-04-09,2778.71
SRB00001,Bezdan,2013-04-10,2641.41
SRB00001,Bezdan,2013-04-11,2557.59
SRB00001,Bezdan,2013-04-12,2493.6
SRB00001,Bezdan,2013-04-13,2448.06
SRB00001,Bezdan,2013-04-14,2476.42
SRB00001,Bezdan,2013-04-15,2702.96
