Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality
SRB00001,Bezdan,2000-01-12,NH4N,,0.4600547952,mg/l,Fair
SRB00001,Bezdan,2000-02-09,NH4N,,0.1900226328,mg/l,Fair
SRB00001,Bezdan,2000-03-08,NH4N,,0.1600190592,mg/l,Fair
SRB00001,Bezdan,2000-04-12,NH4N,,0.1400166768,mg/l,Fair
SRB00001,Bezdan,2000-05-10,NH4N,,0.0200023824,mg/l,Fair
SRB00001,Bezdan,2000-06-14,NH4N,,0.050005956,mg/l,Fair
SRB00001,Bezdan,2000-07-12,NH4N,,0.0400047648,mg/l,Fair
SRB00001,Bezdan,2000-08-09,NH4N,<,0.0100011912,mg/l,Fair
SRB00001,Bezdan,2000-09-13,NH4N,<,0.0100011912,mg/l,Fair
SRB00001,Bezdan,2000-10-12,NH4N,,0.0800095296,mg/l,Fair
SRB00001,Bezdan,2000-11-08,NH4N,<,0.0100011912,mg/l,Fair
SRB00001,Bezdan,2000-12-13,NH4N,,0.2300273976,mg/l,Fair
SRB00001,Bezdan,2001-01-10,NH4N,,0.3700440744,mg/l,Fair
SRB00001,Bezdan,2001-02-14,NH4N,,0.0900107208,mg/l,Fair
SRB00001,Bezdan,2001-03-29,NH4N,,0.200023824,mg/l,Fair
SRB00001,Bezdan,2001-04-11,NH4N,,0.1100131032,mg/l,Fair
SRB00001,Bezdan,2001-05-09,NH4N,,0.050005956,mg/l,Fair
SRB00001,Bezdan,2001-06-13,NH4N,,0.0200023824,mg/l,Fair
SRB00001,Bezdan,2001-07-11,NH4N,,0.0700083384,mg/l,Fair
SRB00001,Bezdan,2001-08-08,NH4N,,0.1600190592,mg/l,Fair
SRB00001,Bezdan,2001-09-12,NH4N,,0.1100131032,mg/l,Fair
SRB00001,Bezdan,2001-10-10,NH4N,,0.0600071472,mg/l,Fair
SRB00001,Bezdan,2001-11-14,NH4N,,0.1400166768,mg/l,Fair
SRB00001,Bezdan,2001-12-12,NH4N,,0.0800095296,mg/l,Fair
