Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality
SRB00001,Bezdan,2000-01-12,NO3N,,3.41768950956,mg/l,Fair
SRB00001,Bezdan,2000-02-09,NO3N,,3.45766248628,mg/l,Fair
SRB00001,Bezdan,2000-03-08,NO3N,,3.2478043585,mg/l,Fair
SRB00001,Bezdan,2000-04-12,NO3N,,2.77812188204,mg/l,Fair
SRB00001,Bezdan,2000-05-10,NO3N,,1.91870288256,mg/l,Fair
SRB00001,Bezdan,2000-06-14,NO3N,,1.1492230807,mg/l,Fair
SRB00001,Bezdan,2000-07-12,NO3N,,0.32977705794,mg/l,Fair
SRB00001,Bezdan,2000-08-09,NO3N,,1.41904067356,mg/l,Fair
SRB00001,Bezdan,2000-09-13,NO3N,,1.46900689446,mg/l,Fair
SRB00001,Bezdan,2000-10-12,NO3N,,1.7987839524,mg/l,Fair
SRB00001,Bezdan,2000-11-08,NO3N,,2.0985812778,mg/l,Fair
SRB00001,Bezdan,2000-12-13,NO3N,,2.53828402172,mg/l,Fair
SRB00001,Bezdan,2001-01-10,NO3N,,2.81809485876,mg/l,Fair
SRB00001,Bezdan,2001-02-14,NO3N,,2.93801378892,mg/l,Fair
SRB00001,Bezdan,2001-03-29,NO3N,,2.57825699844,mg/l,Fair
SRB00001,Bezdan,2001-04-11,NO3N,,2.80810161458,mg/l,Fair
SRB00001,Bezdan,2001-05-09,NO3N,,1.8487501733,mg/l,Fair
SRB00001,Bezdan,2001-06-13,NO3N,,1.30911498758,mg/l,Fair
SRB00001,Bezdan,2001-07-11,NO3N,,0.85941899948,mg/l,Fair
SRB00001,Bezdan,2001-08-08,NO3N,,0.52964194154,mg/l,Fair
SRB00001,Bezdan,2001-09-12,NO3N,,1.35908120848,mg/l,Fair
SRB00001,Bezdan,2001-10-10,NO3N,,1.75881097568,mg/l,Fair
SRB00001,Bezdan,2001-11-14,NO3N,,2.35840562648,mg/l,Fair
SRB00001,Bezdan,2001-12-12,NO3N,,3.03794623072,mg/l,Fair
SRB00001,Bezdan,2002-01-16,NO3N,,3.2977705794,mg/l,Fair
SRB00001,Bezdan,2002-02-13,NO3N,,3.1978381376,mg/l,Fair
SRB00001,Bezdan,2002-03-13,NO3N,,2.7981083704,mg/l,Fair
SRB00001,Bezdan,2002-04-10,NO3N,,2.0985812778,mg/l,Fair
SRB00001,Bezdan,2002-05-15,NO3N,,1.1991893016,mg/l,Fair
SRB00001,Bezdan,2002-06-12,NO3N,,1.498986627,mg/l,Fair
SRB00001,Bezdan,2002-07-10,NO3N,,0.6995270926,mg/l,Fair
SRB00001,Bezdan,2002-08-14,NO3N,,1.5989190688,mg/l,Fair
SRB00001,Bezdan,2002-09-11,NO3N,,1.3990541852,mg/l,Fair
SRB00001,Bezdan,2002-10-09,NO3N,,1.8987163942,mg/l,Fair
SRB00001,Bezdan,2002-11-13,NO3N,,2.2984461614,mg/l,Fair
SRB00001,Bezdan,2002-12-11,NO3N,,2.7981083704,mg/l,Fair
SRB00001,Bezdan,2003-01-15,NO3N,,2.82808810294,mg/l,Fair
SRB00001,Bezdan,2003-02-12,NO3N,,3.25779760268,mg/l,Fair
SRB00001,Bezdan,2003-03-26,NO3N,,2.46833131246,mg/l,Fair
SRB00001,Bezdan,2003-04-09,NO3N,,2.10857452198,mg/l,Fair
SRB00001,Bezdan,2003-05-14,NO3N,,1.23916227832,mg/l,Fair
SRB00001,Bezdan,2003-06-11,NO3N,,0.91937846456,mg/l,Fair
SRB00001,Bezdan,2003-07-09,NO3N,,0.63956762752,mg/l,Fair
SRB00001,Bezdan,2003-08-13,NO3N,,0.75948655768,mg/l,Fair
SRB00001,Bezdan,2003-09-10,NO3N,,2.0985812778,mg/l,Fair
SRB00001,Bezdan,2003-10-08,NO3N,,1.45901365028,mg/l,Fair
SRB00001,Bezdan,2003-11-12,NO3N,,1.8987163942,mg/l,Fair
SRB00001,Bezdan,2003-12-10,NO3N,,3.22781787014,mg/l,Fair
SRB00001,Bezdan,2013-01-09,NO3N,,2.63883046,mg/l,Fair
SRB00001,Bezdan,2013-02-06,NO3N,,2.6185144,mg/l,Fair
SRB00001,Bezdan,2013-03-06,NO3N,,3.02709294,mg/l,Fair
SRB00001,Bezdan,2013-04-03,NO3N,,2.57788228,mg/l,Fair
SRB00001,Bezdan,2013-05-08,NO3N,,1.60948342,mg/l,Fair
SRB00001,Bezdan,2013-06-05,NO3N,,1.94808442,mg/l,Fair
SRB00001,Bezdan,2013-07-03,NO3N,,1.53950588,mg/l,Fair
SRB00001,Bezdan,2013-08-07,NO3N,,0.65011392,mg/l,Fair
SRB00001,Bezdan,2013-09-04,NO3N,,1.45824164,mg/l,Fair
SRB00001,Bezdan,2013-10-02,NO3N,,1.5688513,mg/l,Fair
SRB00001,Bezdan,2013-11-06,NO3N,,1.6591449,mg/l,Fair
SRB00001,Bezdan,2013-12-04,NO3N,,2.13770098,mg/l,Fair
SRB00001,Bezdan,2014-01-28,NO3N,,2.55756622,mg/l,Fair
SRB00001,Bezdan,2014-02-05,NO3N,,2.22799458,mg/l,Fair
SRB00001,Bezdan,2014-03-05,NO3N,,2.39729508,mg/l,Fair
SRB00001,Bezdan,2014-04-02,NO3N,,1.62979948,mg/l,Fair
SRB00001,Bezdan,2014-05-07,NO3N,,1.11964064,mg/l,Fair
SRB00001,Bezdan,2014-06-04,NO3N,,1.31828656,mg/l,Fair
SRB00001,Bezdan,2014-07-02,NO3N,,1.09932458,mg/l,Fair
SRB00001,Bezdan,2014-08-06,NO3N,,1.22799296,mg/l,Fair
SRB00001,Bezdan,2014-09-10,NO3N,,1.06997916,mg/l,Fair
SRB00001,Bezdan,2014-10-01,NO3N,,1.3995508,mg/l,Fair
SRB00001,Bezdan,2014-11-05,NO3N,,1.78781328,mg/l,Fair
SRB00001,Bezdan,2014-12-03,NO3N,,1.95937112,mg/l,Fair
SRB00001,Bezdan,2015-01-14,NO3N,,2.54853686,mg/l,Fair
SRB00001,Bezdan,2015-02-04,NO3N,,2.6975213,mg/l,Fair
SRB00001,Bezdan,2015-03-04,NO3N,,2.59819834,mg/l,Fair
SRB00001,Bezdan,2015-04-01,NO3N,,2.0880395,mg/l,Fair
SRB00001,Bezdan,2015-05-06,NO3N,,1.36794804,mg/l,Fair
SRB00001,Bezdan,2015-06-03,NO3N,,1.81941604,mg/l,Fair
SRB00001,Bezdan,2015-07-08,NO3N,,1.10835394,mg/l,Fair
SRB00001,Bezdan,2015-08-05,NO3N,,0.91873738,mg/l,Fair
SRB00001,Bezdan,2015-09-02,NO3N,,0.95034014,mg/l,Fair
SRB00001,Bezdan,2015-10-07,NO3N,,1.09029522,mg/l,Fair
SRB00001,Bezdan,2015-11-12,NO3N,,1.6478582,mg/l,Fair
SRB00001,Bezdan,2015-12-02,NO3N,,1.94808442,mg/l,Fair
SRB00001,Bezdan,2016-01-13,NO3N,,2.47855932,mg/l,Fair
SRB00001,Bezdan,2016-02-03,NO3N,,2.85779244,mg/l,Fair
SRB00001,Bezdan,2016-03-02,NO3N,,2.56885292,mg/l,Fair
SRB00001,Bezdan,2016-04-06,NO3N,,2.0880395,mg/l,Fair
SRB00001,Bezdan,2016-05-04,NO3N,,1.90970964,mg/l,Fair
SRB00001,Bezdan,2016-06-01,NO3N,,1.4785577,mg/l,Fair
SRB00001,Bezdan,2016-07-06,NO3N,,1.31828656,mg/l,Fair
SRB00001,Bezdan,2016-08-03,NO3N,,1.3092572,mg/l,Fair
SRB00001,Bezdan,2016-09-07,NO3N,,1.18961818,mg/l,Fair
SRB00001,Bezdan,2016-10-05,NO3N,,1.68849032,mg/l,Fair
