Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality
SRB00001,Bezdan,2000-01-12,BOD,,2.8,mg/l,Fair
SRB00001,Bezdan,2000-02-09,BOD,,1.2,mg/l,Fair
SRB00001,Bezdan,2000-03-08,BOD,,3.0,mg/l,Fair
SRB00001,Bezdan,2000-04-12,BOD,,1.6,mg/l,Fair
SRB00001,Bezdan,2000-05-10,BOD,,3.6,mg/l,Fair
SRB00001,Bezdan,2000-06-14,BOD,,4.0,mg/l,Fair
SRB00001,Bezdan,2000-07-12,BOD,,5.6,mg/l,Fair
SRB00001,Bezdan,2000-08-09,BOD,,3.3,mg/l,Fair
SRB00001,Bezdan,2000-09-13,BOD,,3.8,mg/l,Fair
SRB00001,Bezdan,2000-10-12,BOD,,2.2,mg/l,Fair
SRB00001,Bezdan,2000-11-08,BOD,,1.9,mg/l,Fair
SRB00001,Bezdan,2000-12-13,BOD,,2.0,mg/l,Fair
SRB00001,Bezdan,2001-01-10,BOD,,2.6,mg/l,Fair
SRB00001,Bezdan,2001-02-14,BOD,,3.6,mg/l,Fair
SRB00001,Bezdan,2001-03-29,BOD,,2.8,mg/l,Fair
SRB00001,Bezdan,2001-04-11,BOD,,2.0,mg/l,Fair
SRB00001,Bezdan,2001-05-09,BOD,,4.0,mg/l,Fair
SRB00001,Bezdan,2001-06-13,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2001-07-11,BOD,,2.7,mg/l,Fair
SRB00001,Bezdan,2001-08-08,BOD,,4.9,mg/l,Fair
SRB00001,Bezdan,2001-09-12,BOD,,1.1,mg/l,Fair
SRB00001,Bezdan,2001-10-10,BOD,,2.6,mg/l,Fair
SRB00001,Bezdan,2001-11-14,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2001-12-12,BOD,,1.2,mg/l,Fair
SRB00001,Bezdan,2002-01-16,BOD,,3.6,mg/l,Fair
SRB00001,Bezdan,2002-02-13,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2002-03-13,BOD,,2.2,mg/l,Fair
SRB00001,Bezdan,2002-04-10,BOD,,2.6,mg/l,Fair
SRB00001,Bezdan,2002-05-15,BOD,,3.4,mg/l,Fair
SRB00001,Bezdan,2002-06-12,BOD,,3.4,mg/l,Fair
SRB00001,Bezdan,2002-07-10,BOD,,7.0,mg/l,Fair
SRB00001,Bezdan,2002-08-14,BOD,,1.5,mg/l,Fair
SRB00001,Bezdan,2002-09-11,BOD,,1.3,mg/l,Fair
SRB00001,Bezdan,2002-10-09,BOD,,2.0,mg/l,Fair
SRB00001,Bezdan,2002-11-13,BOD,,2.8,mg/l,Fair
SRB00001,Bezdan,2003-01-15,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2003-02-12,BOD,,2.5,mg/l,Fair
SRB00001,Bezdan,2003-03-26,BOD,,4.9,mg/l,Fair
SRB00001,Bezdan,2003-04-09,BOD,,3.2,mg/l,Fair
SRB00001,Bezdan,2003-05-14,BOD,,5.0,mg/l,Fair
SRB00001,Bezdan,2003-06-11,BOD,,3.7,mg/l,Fair
SRB00001,Bezdan,2003-07-09,BOD,,5.5,mg/l,Fair
SRB00001,Bezdan,2003-08-13,BOD,,4.7,mg/l,Fair
SRB00001,Bezdan,2003-09-10,BOD,,1.6,mg/l,Fair
SRB00001,Bezdan,2003-10-08,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2003-11-12,BOD,,2.1,mg/l,Fair
SRB00001,Bezdan,2003-12-10,BOD,,1.8,mg/l,Fair
SRB00001,Bezdan,2013-01-09,BOD,,1.8,mg/l,Fair
SRB00001,Bezdan,2013-01-09,COD,,11.0,mg/l,Fair
SRB00001,Bezdan,2013-02-06,BOD,,1.5,mg/l,Fair
SRB00001,Bezdan,2013-02-06,COD,,14.0,mg/l,Fair
SRB00001,Bezdan,2013-03-06,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2013-03-06,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2013-04-03,BOD,,3.4,mg/l,Fair
SRB00001,Bezdan,2013-04-03,COD,,13.0,mg/l,Fair
SRB00001,Bezdan,2013-05-08,BOD,,1.4,mg/l,Fair
SRB00001,Bezdan,2013-05-08,COD,,9.0,mg/l,Fair
SRB00001,Bezdan,2013-06-05,BOD,,2.1,mg/l,Fair
SRB00001,Bezdan,2013-06-05,COD,,13.0,mg/l,Fair
SRB00001,Bezdan,2013-07-03,BOD,,2.9,mg/l,Fair
SRB00001,Bezdan,2013-07-03,COD,,11.0,mg/l,Fair
SRB00001,Bezdan,2013-08-07,BOD,,3.0,mg/l,Fair
SRB00001,Bezdan,2013-08-07,COD,,13.0,mg/l,Fair
SRB00001,Bezdan,2013-09-04,BOD,,1.5,mg/l,Fair
SRB00001,Bezdan,2013-09-04,COD,,9.2,mg/l,Fair
SRB00001,Bezdan,2013-10-02,BOD,,1.4,mg/l,Fair
SRB00001,Bezdan,2013-10-02,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2013-11-06,BOD,,1.2,mg/l,Fair
SRB00001,Bezdan,2013-11-06,COD,,9.0,mg/l,Fair
SRB00001,Bezdan,2013-12-04,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2013-12-04,COD,,9.0,mg/l,Fair
SRB00001,Bezdan,2014-01-28,BOD,,1.5,mg/l,Fair
SRB00001,Bezdan,2014-01-28,COD,,8.0,mg/l,Fair
SRB00001,Bezdan,2014-02-05,BOD,,1.8,mg/l,Fair
SRB00001,Bezdan,2014-02-05,COD,,8.0,mg/l,Fair
SRB00001,Bezdan,2014-03-05,BOD,,2.7,mg/l,Fair
SRB00001,Bezdan,2014-03-05,COD,,12.0,mg/l,Fair
SRB00001,Bezdan,2014-04-02,BOD,,4.7,mg/l,Fair
SRB00001,Bezdan,2014-04-02,COD,,14.0,mg/l,Fair
SRB00001,Bezdan,2014-05-07,BOD,,2.5,mg/l,Fair
SRB00001,Bezdan,2014-05-07,COD,,11.0,mg/l,Fair
SRB00001,Bezdan,2014-06-04,BOD,,1.3,mg/l,Fair
SRB00001,Bezdan,2014-06-04,COD,,11.0,mg/l,Fair
SRB00001,Bezdan,2014-07-02,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2014-07-02,COD,<,5.0,mg/l,Fair
SRB00001,Bezdan,2014-08-06,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2014-09-10,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2014-10-01,BOD,,1.7,mg/l,Fair
SRB00001,Bezdan,2014-11-05,BOD,,1.6,mg/l,Fair
SRB00001,Bezdan,2014-12-03,BOD,,1.8,mg/l,Fair
SRB00001,Bezdan,2015-01-14,BOD,,1.4,mg/l,Fair
SRB00001,Bezdan,2015-01-14,COD,,22.0,mg/l,Fair
SRB00001,Bezdan,2015-02-04,BOD,,2.0,mg/l,Fair
SRB00001,Bezdan,2015-02-04,COD,,12.0,mg/l,Fair
SRB00001,Bezdan,2015-03-04,BOD,,1.3,mg/l,Fair
SRB00001,Bezdan,2015-03-04,COD,,15.0,mg/l,Fair
SRB00001,Bezdan,2015-04-01,BOD,,2.7,mg/l,Fair
SRB00001,Bezdan,2015-04-01,COD,,15.0,mg/l,Fair
SRB00001,Bezdan,2015-05-06,BOD,,2.9,mg/l,Fair
SRB00001,Bezdan,2015-05-06,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2015-06-03,BOD,,1.6,mg/l,Fair
SRB00001,Bezdan,2015-06-03,COD,,11.0,mg/l,Fair
SRB00001,Bezdan,2015-07-08,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2015-07-08,COD,,9.0,mg/l,Fair
SRB00001,Bezdan,2015-08-05,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2015-08-05,COD,,9.0,mg/l,Fair
SRB00001,Bezdan,2015-09-02,BOD,,3.2,mg/l,Fair
SRB00001,Bezdan,2015-09-02,COD,,15.0,mg/l,Fair
SRB00001,Bezdan,2015-10-07,BOD,,1.1,mg/l,Fair
SRB00001,Bezdan,2015-10-07,COD,,8.0,mg/l,Fair
SRB00001,Bezdan,2015-11-12,BOD,,1.7,mg/l,Fair
SRB00001,Bezdan,2015-11-12,COD,,8.0,mg/l,Fair
SRB00001,Bezdan,2015-12-02,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2015-12-02,COD,,8.0,mg/l,Fair
SRB00001,Bezdan,2016-01-13,BOD,,3.0,mg/l,Fair
SRB00001,Bezdan,2016-01-13,COD,,11.0,mg/l,Fair
SRB00001,Bezdan,2016-02-03,BOD,,2.6,mg/l,Fair
SRB00001,Bezdan,2016-02-03,COD,,12.0,mg/l,Fair
SRB00001,Bezdan,2016-03-02,BOD,,1.9,mg/l,Fair
SRB00001,Bezdan,2016-03-02,COD,,15.0,mg/l,Fair
SRB00001,Bezdan,2016-04-06,BOD,,2.8,mg/l,Fair
SRB00001,Bezdan,2016-04-06,COD,,12.0,mg/l,Fair
SRB00001,Bezdan,2016-05-04,BOD,,2.1,mg/l,Fair
SRB00001,Bezdan,2016-05-04,COD,,9.0,mg/l,Fair
SRB00001,Bezdan,2016-06-01,BOD,,1.8,mg/l,Fair
SRB00001,Bezdan,2016-06-01,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2016-07-06,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2016-07-06,COD,,6.0,mg/l,Fair
SRB00001,Bezdan,2016-08-03,BOD,,1.1,mg/l,Fair
SRB00001,Bezdan,2016-09-07,BOD,,2.2,mg/l,Fair
SRB00001,Bezdan,2016-09-07,COD,,9.0,mg/l,Fair
SRB00001,Bezdan,2016-10-05,BOD,,2.8,mg/l,Fair
SRB00001,Bezdan,2016-10-05,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2016-11-02,BOD,,2.5,mg/l,Fair
SRB00001,Bezdan,2016-11-02,COD,,7.0,mg/l,Fair
SRB00001,Bezdan,2016-12-07,BOD,,2.2,mg/l,Fair
SRB00001,Bezdan,2016-12-07,COD,,9.0,mg/l,Fair
SRB00001,Bezdan,2017-01-11,BOD,,1.9,mg/l,Fair
SRB00001,Bezdan,2017-01-11,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2017-02-01,COD,,12.0,mg/l,Fair
SRB00001,Bezdan,2017-03-01,BOD,,2.2,mg/l,Fair
SRB00001,Bezdan,2017-03-01,COD,,11.0,mg/l,Fair
SRB00001,Bezdan,2017-04-05,BOD,,2.7,mg/l,Fair
SRB00001,Bezdan,2017-04-05,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2017-05-03,BOD,,3.2,mg/l,Fair
SRB00001,Bezdan,2017-05-03,COD,,13.0,mg/l,Fair
SRB00001,Bezdan,2017-06-14,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2017-06-14,COD,,14.0,mg/l,Fair
SRB00001,Bezdan,2017-07-05,BOD,,2.4,mg/l,Fair
SRB00001,Bezdan,2017-07-05,COD,,11.0,mg/l,Fair
SRB00001,Bezdan,2017-08-02,BOD,,1.3,mg/l,Fair
SRB00001,Bezdan,2017-08-02,COD,,12.0,mg/l,Fair
SRB00001,Bezdan,2017-09-06,BOD,,2.0,mg/l,Fair
SRB00001,Bezdan,2017-09-06,COD,,18.0,mg/l,Fair
SRB00001,Bezdan,2017-10-04,BOD,,1.1,mg/l,Fair
SRB00001,Bezdan,2017-10-04,COD,,12.0,mg/l,Fair
SRB00001,Bezdan,2017-11-08,BOD,,1.1,mg/l,Fair
SRB00001,Bezdan,2017-11-08,COD,,8.0,mg/l,Fair
SRB00001,Bezdan,2017-12-13,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2017-12-13,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2018-01-10,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2018-01-10,COD,,16.0,mg/l,Fair
SRB00001,Bezdan,2018-02-07,BOD,,2.3,mg/l,Fair
SRB00001,Bezdan,2018-02-07,COD,,10.0,mg/l,Fair
SRB00001,Bezdan,2018-03-07,BOD,,1.4,mg/l,Fair
SRB00001,Bezdan,2018-03-07,COD,,12.0,mg/l,Fair
SRB00001,Bezdan,2018-04-04,BOD,,3.7,mg/l,Fair
SRB00001,Bezdan,2018-04-04,COD,,16.0,mg/l,Fair
SRB00001,Bezdan,2018-05-09,BOD,,2.0,mg/l,Fair
SRB00001,Bezdan,2018-05-09,COD,,14.0,mg/l,Fair
SRB00001,Bezdan,2018-06-06,BOD,,3.8,mg/l,Fair
SRB00001,Bezdan,2018-06-06,COD,,17.0,mg/l,Fair
SRB00001,Bezdan,2018-07-04,BOD,,1.0,mg/l,Fair
SRB00001,Bezdan,2018-07-04,COD,,11.0,mg/l,Fair
