Station_ID,Station_Name,Sample_Date,Parameter_Code,Value_Flag,Value,Unit,Data_Quality
SRB00001,Bezdan,2013-01-09,TP,,0.096,mg/l,Fair
SRB00001,Bezdan,2013-02-06,TP,,0.108,mg/l,Fair
SRB00001,Bezdan,2013-03-06,TP,,0.128,mg/l,Fair
SRB00001,Bezdan,2013-04-03,TP,,0.139,mg/l,Fair
SRB00001,Bezdan,2013-05-08,TP,,0.122,mg/l,Fair
SRB00001,Bezdan,2013-06-05,TP,,0.113,mg/l,Fair
SRB00001,Bezdan,2013-07-03,TP,,0.209,mg/l,Fair
SRB00001,Bezdan,2013-08-07,TP,,0.089,mg/l,Fair
SRB00001,Bezdan,2013-09-04,TP,,0.11,mg/l,Fair
SRB00001,Bezdan,2013-10-02,TP,,0.93,mg/l,Fair
SRB00001,Bezdan,2013-11-06,TP,,0.109,mg/l,Fair
SRB00001,Bezdan,2013-12-04,TP,,0.106,mg/l,Fair
SRB00001,Bezdan,2014-01-28,TP,,0.1,mg/l,Fair
SRB00001,Bezdan,2014-02-05,TP,,0.09,mg/l,Fair
SRB00001,Bezdan,2014-03-05,TP,,0.111,mg/l,Fair
SRB00001,Bezdan,2014-04-02,TP,,0.096,mg/l,Fair
SRB00001,Bezdan,2014-05-07,TP,,0.109,mg/l,Fair
SRB00001,Bezdan,2014-06-04,TP,,0.113,mg/l,Fair
SRB00001,Bezdan,2014-07-02,TP,,0.098,mg/l,Fair
SRB00001,Bezdan,2014-08-06,TP,,0.212,mg/l,Fair
SRB00001,Bezdan,2014-09-10,TP,,0.171,mg/l,Fair
SRB00001,Bezdan,2014-10-01,TP,,0.119,mg/l,Fair
SRB00001,Bezdan,2014-11-05,TP,,0.123,mg/l,Fair
SRB00001,Bezdan,2014-12-03,TP,,0.114,mg/l,Fair
SRB00001,Bezdan,2015-01-14,TP,,0.173,mg/l,Fair
SRB00001,Bezdan,2015-02-04,TP,,0.103,mg/l,Fair
SRB00001,Bezdan,2015-03-04,TP,,0.097,mg/l,Fair
SRB00001,Bezdan,2015-04-01,TP,,0.079,mg/l,Fair
SRB00001,Bezdan,2015-05-06,TP,,0.072,mg/l,Fair
SRB00001,Bezdan,2015-06-03,TP,,0.137,mg/l,Fair
SRB00001,Bezdan,2015-07-08,TP,,0.103,mg/l,Fair
SRB00001,Bezdan,2015-08-05,TP,,0.102,mg/l,Fair
SRB00001,Bezdan,2015-09-02,TP,,0.094,mg/l,Fair
SRB00001,Bezdan,2015-10-07,TP,,0.07,mg/l,Fair
SRB00001,Bezdan,2015-11-12,TP,,0.097,mg/l,Fair
SRB00001,Bezdan,2015-12-02,TP,,0.073,mg/l,Fair
SRB00001,Bezdan,2016-01-13,TP,,0.146,mg/l,Fair
SRB00001,Bezdan,2016-02-03,TP,,0.091,mg/l,Fair
SRB00001,Bezdan,2016-03-02,TP,,0.106,mg/l,Fair
SRB00001,Bezdan,2016-04-06,TP,,0.088,mg/l,Fair
