Station_ID,Station_Name,Date,precipitation_mm,temperature_mean_c,temperature_max_c,temperature_min_c,relative_humidity_pct,wind_speed_ms,cloud_cover_pct,solar_radiation_mjm2
SRB00001,Bezdan,2013-01-01,0.02,-1.42,2.22,-3.59,95.52,2.52,85.97,3.12
SRB00001,Bezdan,2013-01-02,0.06,-0.53,2.47,-1.47,95.23,1.57,78.94,3.81
SRB00001,Bezdan,2013-01-03,0.02,1.34,5.85,-1.23,90.38,1.76,91.39,6.04
SRB00001,Bezdan,2013-01-04,1.04,4.08,7.84,2.26,91.07,4.18,93.94,5.05
SRB00001,Bezdan,2013-01-05,1.96,5.65,10.23,0.32,89.32,5.61,68.4,3.74
SRB00001,Bezdan,2013-01-06,4.22,0.88,4.01,-2.04,88.78,3.23,95.85,3.7
SRB00001,Bezdan,2013-01-07,0.84,-0.79,2.35,-4.35,81.14,2.51,88.13,4.03
SRB00001,Bezdan,2013-01-08,0.43,-2.58,0.1,-4.76,76.6,1.34,79.41,5.68
SRB00001,Bezdan,2013-01-09,0.83,-0.83,2.82,-2.8,94.57,2.0,98.8,2.61
SRB00001,Bezdan,2013-01-10,0.74,0.16,2.82,-1.82,97.86,1.97,99.43,2.77
SRB00001,Bezdan,2013-01-11,4.38,-0.37,1.96,-4.25,94.52,1.84,87.89,3.19
SRB00001,Bezdan,2013-01-12,0.02,-2.12,1.92,-4.78,79.62,1.5,26.78,7.69
SRB00001,Bezdan,2013-01-13,1.79,-1.71,0.21,-3.81,85.67,2.98,98.29,3.41
SRB00001,Bezdan,2013-01-14,5.31,1.16,3.88,-1.0,94.8,4.25,98.47,3.16
SRB00001,Bezdan,2013-01-15,6.14,1.3,3.61,-0.07,96.78,0.87,99.22,3.35
SRB00001,Bezdan,2013-01-16,6.71,1.1,4.28,-0.16,94.52,2.62,99.33,2.25
SRB00001,Bezdan,2013-01-17,3.65,0.94,4.38,-0.79,93.58,2.06,99.27,2.89
SRB00001,Bezdan,2013-01-18,8.37,-2.03,-0.09,-4.18,92.26,5.16,99.43,1.29
SRB00001,Bezdan,2013-01-19,0.13,-4.24,-0.58,-6.89,88.59,3.08,91.9,4.27
SRB00001,Bezdan,2013-01-20,3.04,2.37,6.09,-3.03,95.94,2.75,99.39,4.28
SRB00001,Bezdan,2013-01-21,0.85,5.5,8.24,3.71,98.72,2.29,99.58,3.63
SRB00001,Bezdan,2013-01-22,1.77,0.08,3.39,-2.5,89.39,3.38,89.21,3.7
SRB00001,Bezdan,2013-01-23,0.08,-0.2,5.39,-3.35,90.5,1.51,81.23,4.86
SRB00001,Bezdan,2013-01-24,5.07,0.55,4.42,-2.45,91.54,4.84,97.98,4.86
SRB00001,Bezdan,2013-01-25,0.52,-2.2,-0.37,-3.88,81.02,5.23,97.71,3.17
SRB00001,Bezdan,2013-01-26,0.07,-2.82,1.35,-5.44,82.85,2.68,98.23,2.18
SRB00001,Bezdan,2013-01-27,0.14,-3.19,0.8,-7.07,89.35,2.09,97.19,5.41
SRB00001,Bezdan,2013-01-28,0.41,-0.89,2.29,-2.58,92.08,1.79,99.54,4.62
SRB00001,Bezdan,2013-01-29,0.12,-0.28,3.91,-3.39,92.73,2.58,88.65,6.92
SRB00001,Bezdan,2013-01-30,0.3,2.54,8.26,0.84,93.1,2.89,91.67,6.11
SRB00001,Bezdan,2013-01-31,1.07,4.3,10.28,1.18,86.17,3.64,57.69,9.6
SRB00001,Bezdan,2013-02-01,0.27,4.46,9.07,1.38,88.36,2.75,96.89,6.06
SRB00001,Bezdan,2013-02-02,8.41,7.88,14.04,2.7,90.11,4.01,99.0,5.17
SRB00001,Bezdan,2013-02-03,9.94,0.3,2.43,-5.18,88.3,5.37,95.84,2.3
SRB00001,Bezdan,2013-02-04,0.01,-0.76,4.11,-5.19,81.79,2.79,56.23,9.59
SRB00001,Bezdan,2013-02-05,0.02,1.73,5.57,-2.24,87.8,2.44,81.41,6.73
SRB00001,Bezdan,2013-02-06,5.9,3.01,8.32,0.25,92.05,2.35,97.65,6.35
SRB00001,Bezdan,2013-02-07,0.27,-0.21,4.51,-3.96,86.23,3.87,62.67,9.59
SRB00001,Bezdan,2013-02-08,0.0,-1.65,3.79,-4.57,84.46,3.33,88.57,7.26
SRB00001,Bezdan,2013-02-09,0.44,-2.1,1.11,-4.67,88.24,2.43,97.12,4.82
SRB00001,Bezdan,2013-02-10,3.05,-2.35,-0.11,-5.03,90.85,2.5,92.14,4.47
SRB00001,Bezdan,2013-02-11,0.16,-2.09,2.15,-5.17,85.45,3.08,48.28,10.99
SRB00001,Bezdan,2013-02-12,1.6,0.96,3.64,-2.68,90.56,4.6,99.83,3.49
SRB00001,Bezdan,2013-02-13,5.89,2.03,4.6,0.39,96.97,2.63,99.08,5.25
SRB00001,Bezdan,2013-02-14,4.25,1.43,3.44,0.22,96.87,1.89,99.6,2.2
SRB00001,Bezdan,2013-02-15,0.56,2.5,7.02,-0.39,91.94,1.17,99.82,4.57
SRB00001,Bezdan,2013-02-16,1.8,1.31,6.34,-1.95,88.94,2.18,99.72,4.9
SRB00001,Bezdan,2013-02-17,0.0,0.77,6.25,-2.76,86.86,1.55,78.59,8.62
SRB00001,Bezdan,2013-02-18,0.01,-0.14,5.43,-3.74,84.9,1.96,93.89,6.51
SRB00001,Bezdan,2013-02-19,0.1,0.66,5.16,-2.57,80.17,1.18,89.41,8.94
SRB00001,Bezdan,2013-02-20,0.68,0.85,4.46,-1.76,83.04,1.77,97.71,5.9
SRB00001,Bezdan,2013-02-21,1.45,-0.74,1.88,-2.49,80.87,2.78,99.94,5.38
SRB00001,Bezdan,2013-02-22,2.5,0.43,3.91,-1.96,90.47,2.02,95.44,3.61
SRB00001,Bezdan,2013-02-23,5.66,3.2,6.58,-0.14,95.09,4.25,99.39,5.65
SRB00001,Bezdan,2013-02-24,8.7,5.99,7.79,4.66,93.89,5.77,98.36,6.75
SRB00001,Bezdan,2013-02-25,9.09,6.18,10.1,3.02,92.43,2.12,92.71,6.62
SRB00001,Bezdan,2013-02-26,9.19,5.92,9.67,3.82,90.82,1.58,99.63,4.26
SRB00001,Bezdan,2013-02-27,4.73,4.69,6.35,3.49,92.65,1.24,99.71,4.32
SRB00001,Bezdan,2013-02-28,0.62,5.21,9.46,0.56,85.22,0.91,72.8,6.92
SRB00001,Bezdan,2013-03-01,0.03,2.07,6.94,-0.94,90.99,2.12,88.34,7.56
SRB00001,Bezdan,2013-03-02,0.01,1.98,7.71,-2.52,76.55,2.56,57.23,10.75
SRB00001,Bezdan,2013-03-03,0.0,2.08,7.96,-1.72,74.86,1.83,9.56,15.41
SRB00001,Bezdan,2013-03-04,0.0,2.21,7.86,-2.85,76.03,1.47,2.63,15.33
SRB00001,Bezdan,2013-03-05,0.0,3.28,10.47,-3.08,74.32,2.67,36.8,15.91
SRB00001,Bezdan,2013-03-06,0.03,7.4,13.73,1.89,88.05,2.97,95.87,8.44
SRB00001,Bezdan,2013-03-07,0.39,8.69,11.83,6.5,91.91,2.79,96.22,6.98
SRB00001,Bezdan,2013-03-08,0.43,10.41,17.26,3.88,89.37,1.8,75.91,10.99
