"STATION","NAME","DATE","PRCP"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-13","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-14","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-15","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-16","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-17","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-18","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-19","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-22",
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-25",
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-03-30","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-01","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-02","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-03","0.09"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-10","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-11","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-12","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-16","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-17","0.93"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-18","0.01"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-19","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-22","0.00"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-23","0.02"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-27","0.11"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-29","0.65"
"US1WIPC0045","PRESCOTT 4.8 E, WI US","2024-04-30","0.01"
