Date,station_id,name,Satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,station_name
2019-01-02,5378500,Winona,Sentinel-2,0.0433,0.0521,0.0783,0.121,0.1384,0.1198,0.0652,0.0755,0.0911,winona
2019-01-02,5378500,Winona,Sentinel-2,0.05,0.0592,0.084,0.1257,0.1387,0.1199,0.071,0.0814,0.0968,winona
2019-01-04,5288500,Brooklyn_Park,Landsat-8,0.2675,0.26343,0.2752275,0.3593774999999999,0.0647975,0.064,,,,brooklynpark
2019-01-05,5288500,Brooklyn_Park,Sentinel-2,0.2615,0.2526,0.2695,0.3394,0.1197,0.1016,0.2714,0.2666,0.2717,brooklynpark
2019-01-05,5331580,Hastings,Sentinel-2,0.0628,0.0772,0.1042,0.1148,0.0954,0.0876,0.08,0.1061,0.0939,hastings
2019-01-05,5344500,Prescott,Sentinel-2,0.051,0.065,0.0976,0.1692,0.1826,0.1474,0.1202,0.1376,0.1589,prescott
2019-01-05,5331000,St_Paul,Sentinel-2,0.0868,0.0929,0.0974,0.1178,0.0946,0.0927,0.1095,0.1114,0.1225,stpaul
2019-01-05,5288500,Brooklyn_Park,Sentinel-2,0.2628,0.2482,0.2657,0.3377,0.1203,0.1023,0.2731,0.268,0.2732,brooklynpark
2019-01-10,5288500,Brooklyn_Park,Sentinel-2,0.1401,0.1446,0.169,0.2316,0.1561,0.1268,0.1811,0.2024,0.207,brooklynpark
2019-01-10,5331580,Hastings,Sentinel-2,0.0588,0.0712,0.074,0.1288,0.1404,0.1141,0.08,0.0883,0.1012,hastings
2019-01-10,5344500,Prescott,Sentinel-2,0.0882,0.1062,0.1352,0.2162,0.2391,0.2021,0.1603,0.189,0.207,prescott
2019-01-10,5331000,St_Paul,Sentinel-2,0.0754,0.089,0.1077,0.1271,0.1459,0.1201,0.1154,0.1238,0.1201,stpaul
2019-01-10,5288500,Brooklyn_Park,Sentinel-2,0.1459,0.1473,0.171,0.2332,0.1556,0.1264,0.1813,0.2024,0.2066,brooklynpark
2019-01-20,5331580,Hastings,Landsat-8,0.1989975,0.1875025,0.1900049999999999,0.277235,0.077255,0.08556,,,,hastings
2019-01-20,5331000,St_Paul,Landsat-8,0.0553925,0.0790974999999999,0.0895199999999999,0.1508725,0.1092374999999999,0.096615,,,,stpaul
2019-01-20,5288500,Brooklyn_Park,Landsat-8,0.1153699999999999,0.14562,0.1597549999999999,0.2104375,0.1113825,0.094965,,,,brooklynpark
