ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ActivityConductingOrganizationText,ActivityCommentText,SampleAquifer,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,ResultCommentText,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
nwismn.01.01900063,Sample-Routine,Water,Surface Water,2019-03-20,10:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-56665A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.26,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2019-03-26,,0.02,mg/l as P,
nwismn.01.01900063,Sample-Routine,Water,Surface Water,2019-03-20,10:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-56665A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.19,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2019-03-25,,0.02,mg/l as P,
nwismn.01.01900063,Sample-Routine,Water,Surface Water,2019-03-20,10:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-56665A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.273,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2019-04-16,,0.03,mg/l,
nwismn.01.01900063,Sample-Routine,Water,Surface Water,2019-03-20,10:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-56665A,,60,USGS parameter code 82398,Weighted bottle,US WBH-96 weighted-bottle sampler,,Turbidity,Total,33.0,NTRU,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2019-03-22,,2.0,NTRU,
nwismn.01.01900249,Sample-Routine,Water,Surface Water,2019-06-18,11:20:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-57170A,,40,USGS parameter code 82398,Multiple verticals,US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.12,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2019-06-24,,0.02,mg/l as P,
nwismn.01.01900249,Sample-Routine,Water,Surface Water,2019-06-18,11:20:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-57170A,,40,USGS parameter code 82398,Multiple verticals,US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.07,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2019-06-20,,0.02,mg/l as P,
nwismn.01.01900249,Sample-Routine,Water,Surface Water,2019-06-18,11:20:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-57170A,,40,USGS parameter code 82398,Multiple verticals,US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.193,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2019-07-19,,0.03,mg/l,
nwismn.01.01900249,Sample-Routine,Water,Surface Water,2019-06-18,11:20:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-57170A,,40,USGS parameter code 82398,Multiple verticals,US WBH-96 weighted-bottle sampler,,Turbidity,Total,22.0,NTRU,,Accepted,Actual,,,,,The holding time for the processing of this sample has been exceeded,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2019-07-17,holding time exceededsee result laboratory comment,2.0,NTRU,
nwismn.01.01900249,Sample-Routine,Water,Surface Water,2019-06-18,11:20:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-57170A,,40,USGS parameter code 82398,Multiple verticals,US WBH-96 weighted-bottle sampler,,Chlorophyll a,,20.2,ug/l,,Accepted,Actual,,,,,,,,,,00050,USGS,"Plant pigments, sonication & 445",2019-07-09,,0.1,ug/l,2019-07-09
nwismn.01.01900292,Quality Control Sample-Field Replicate,Water,Surface Water,2019-07-24,11:30:00,CDT,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,MM-57485A,,20,USGS parameter code 82398,Equal discharge increment (edi),US D-96 bag sampler,,Phosphorus,Total,0.22,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2019-08-07,,0.02,mg/l as P,
