ActivityStartDate,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultDepthHeightMeasure/MeasureUnitCode,MonitoringLocationIdentifier,_name,_dist_km,ResultDetectionConditionText,ResultStatusIdentifier,ResultCommentText
2019-02-01,Turbidity,3.7,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-02-01,Nitrogen,0.047,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-02-01,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-02-01,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-02-11,Turbidity,3.2,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-02-11,Nitrogen,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,
2019-02-11,Phosphorus,0.04,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-02-11,Phosphorus,0.06,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-03-20,Phosphorus,0.19,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-03-20,Turbidity,33,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-03-20,Phosphorus,0.26,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-03-20,Nitrogen,0.273,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-04-16,Turbidity,24,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-04-16,Phosphorus,0.14,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-04-16,Nitrogen,0.260,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-04-16,Phosphorus,0.24,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-04-24,Phosphorus,0.21,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-04-24,Phosphorus,0.11,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-04-24,Nitrogen,0.268,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-04-24,Turbidity,56,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-05-20,Turbidity,17,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-05-20,Nitrogen,0.312,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-05-20,Phosphorus,,,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,Not Detected,Accepted,
2019-05-20,Phosphorus,0.09,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-05-29,Turbidity,12,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-05-29,Phosphorus,0.10,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-05-29,Phosphorus,0.03,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-05-29,Nitrogen,0.159,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-06-18,Chlorophyll a,20.2,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-06-18,Turbidity,22,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,The holding time for the processing of this sample has been exceeded
2019-06-18,Nitrogen,0.193,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-06-18,Phosphorus,0.07,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-06-18,Phosphorus,0.12,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-06-25,Nitrogen,0.265,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-06-25,Phosphorus,0.16,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-06-25,Turbidity,34,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,The holding time for the processing of this sample has been exceeded
2019-06-25,Chlorophyll a,13.2,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-06-25,Phosphorus,0.09,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-07-17,Phosphorus,0.19,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-07-17,Phosphorus,0.11,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-07-17,Nitrogen,0.356,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-07-17,Turbidity,31,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-07-17,Chlorophyll a,16.0,ug/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-07-24,Phosphorus,0.13,mg/l as P,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-07-24,Nitrogen,0.243,mg/l,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
2019-07-24,Turbidity,36,NTRU,,USGS-05331580,"MISSISSIPPI RIVER BELOW L&D 2 AT HASTINGS, MN",3.6232393983022417,,Accepted,
