Date,Temperature_C,pH,Dissolved_Oxygen_mgL,Conductivity_uS_cm,Turbidity_NTU,TDS_mgL,Ammonia_mgL,Nitrates_mgL,Phosphates_mgL
2016-01-01,20.4,7.5,11.0,502.8,2.9,328.4,0.09,2.12,0.04
2016-01-04,20.0,7.5,11.0,522.1,7.9,333.6,0.1,1.55,0.04
2016-01-07,20.6,7.4,10.8,437.6,2.6,271.9,0.07,1.13,0.02
2016-01-10,21.3,7.8,10.6,436.5,7.5,282.4,0.1,1.36,0.05
2016-01-13,20.0,7.3,11.0,395.4,3.7,260.7,0.21,0.99,0.05
2016-01-16,20.1,7.5,11.0,503.0,3.1,320.4,0.21,0.64,0.12
2016-01-19,21.6,7.8,10.8,462.9,15.8,298.5,0.32,0.99,0.05
2016-01-22,21.1,7.5,10.7,547.5,2.1,372.9,0.1,1.26,0.04
2016-01-25,20.3,7.5,11.0,403.6,4.9,270.7,0.17,1.41,0.28
2016-01-28,21.2,7.4,10.6,414.4,2.1,270.3,0.12,3.25,0.06
2016-01-31,20.6,7.5,10.9,465.6,5.3,295.3,0.21,2.0,0.05
2016-02-03,20.8,7.7,10.2,489.5,5.5,311.8,0.17,0.66,0.05
2016-02-06,21.6,7.2,10.9,441.5,3.9,279.6,0.1,0.69,0.1
2016-02-09,20.1,7.7,11.0,403.1,2.7,253.6,0.09,0.61,0.04
2016-02-12,20.5,7.3,11.0,500.0,4.4,335.4,0.08,1.84,0.04
2016-02-15,21.7,7.5,9.7,492.9,7.6,320.5,0.14,1.72,0.09
2016-02-18,21.6,7.4,11.0,407.3,9.6,261.4,0.38,4.0,0.02
2016-02-21,23.0,7.6,10.2,509.5,5.8,355.5,0.07,1.24,0.12
2016-02-24,22.3,7.3,10.7,511.3,10.2,332.2,0.06,2.25,0.05
2016-02-27,22.2,7.6,10.1,468.7,3.1,295.5,0.06,1.36,0.06
2016-03-01,24.8,7.8,9.9,448.0,3.7,282.5,0.2,2.57,0.09
2016-03-04,23.8,7.3,9.7,498.7,2.9,328.7,0.09,1.78,0.04
2016-03-07,24.4,7.5,9.6,401.7,3.4,272.2,0.08,1.53,0.13
2016-03-10,23.6,7.4,10.6,451.8,3.3,278.6,0.09,1.33,0.21
2016-03-13,24.6,7.6,9.7,335.7,5.7,226.1,0.15,1.78,0.05
2016-03-16,25.5,7.5,9.6,496.1,6.1,322.9,0.13,1.04,0.16
2016-03-19,24.9,7.4,10.0,354.5,16.5,217.2,0.19,0.6,0.02
2016-03-22,26.5,7.6,9.4,519.7,3.1,334.0,0.09,0.54,0.13
2016-03-25,26.1,7.8,9.4,422.6,7.1,266.3,0.11,1.15,0.04
2016-03-28,26.7,7.5,9.3,440.8,10.5,282.9,0.06,1.41,0.04
2016-03-31,26.8,7.6,9.9,428.6,6.1,270.4,0.06,0.58,0.03
2016-04-03,29.2,7.3,8.5,442.1,3.5,289.1,0.11,0.84,0.04
2016-04-06,28.1,7.4,8.9,497.2,3.5,336.0,0.09,0.89,0.03
2016-04-09,27.6,7.6,9.3,346.0,2.2,222.7,0.14,1.33,0.14
2016-04-12,29.5,7.7,8.8,516.8,3.8,315.5,0.05,0.83,0.13
2016-04-15,28.3,7.6,9.1,459.1,8.8,304.0,0.06,0.6,0.03
2016-04-18,29.8,7.5,8.6,391.2,2.2,258.6,0.25,0.68,0.03
2016-04-21,28.4,7.5,8.4,398.0,3.2,256.9,0.13,0.69,0.12
2016-04-24,29.3,7.3,9.0,527.2,8.1,337.8,0.17,2.35,0.05
2016-04-27,30.9,7.6,7.8,404.7,9.6,257.1,0.23,0.83,0.03
2016-04-30,31.6,7.6,8.0,386.3,5.0,262.2,0.11,1.75,0.06
2016-05-03,31.5,7.4,7.7,502.8,8.0,336.2,0.19,1.34,0.05
2016-05-06,31.6,7.4,7.9,460.1,4.5,299.0,0.12,4.0,0.03
2016-05-09,31.8,7.5,8.0,388.8,2.9,255.8,0.08,0.82,0.08
2016-05-12,31.1,7.4,8.1,462.3,4.5,297.4,0.09,0.67,0.07
2016-05-15,32.0,7.5,7.9,404.6,6.3,282.9,0.12,0.55,0.03
2016-05-18,32.5,7.8,8.1,510.2,16.8,328.8,0.09,0.78,0.15
2016-05-21,34.0,7.5,7.4,511.3,2.4,339.5,0.09,1.65,0.06
2016-05-24,33.7,7.4,7.3,479.8,5.5,307.2,0.09,0.59,0.03
2016-05-27,32.2,7.4,8.0,462.8,4.0,314.5,0.06,0.78,0.03
2016-05-30,34.1,7.6,7.6,546.5,5.5,384.0,0.06,2.43,0.03
2016-06-02,33.7,7.5,7.0,436.4,2.1,286.6,0.05,1.37,0.05
2016-06-05,33.7,7.4,7.5,381.9,3.9,250.0,0.06,0.57,0.03
2016-06-08,34.9,7.7,7.2,462.8,10.6,307.6,0.09,0.55,0.05
2016-06-11,35.0,7.7,7.0,565.1,6.0,339.7,0.14,0.56,0.03
2016-06-14,35.0,7.4,7.4,408.7,5.0,265.1,0.07,3.35,0.07
2016-06-17,34.1,7.2,7.2,436.8,3.7,295.8,0.27,2.4,0.1
2016-06-20,34.6,7.7,7.1,481.5,3.8,314.8,0.22,2.36,0.06
2016-06-23,35.0,7.4,7.0,438.5,4.4,279.6,0.12,3.08,0.08
2016-06-26,35.0,7.6,7.0,404.4,11.0,265.5,0.18,1.2,0.16
2016-06-29,34.6,7.2,7.0,504.8,19.1,321.0,0.1,0.78,0.07
2016-07-02,34.9,7.6,7.0,574.5,4.9,380.1,0.05,1.01,0.04
2016-07-05,34.1,7.3,7.7,458.7,4.5,295.9,0.28,1.77,0.05
2016-07-08,34.0,7.6,7.0,400.9,11.4,268.4,0.06,2.59,0.12
2016-07-11,35.0,7.5,7.0,378.0,4.8,247.5,0.35,1.07,0.03
2016-07-14,35.0,7.4,7.0,471.7,6.0,295.8,0.13,1.27,0.04
2016-07-17,34.7,7.4,7.0,498.5,3.3,321.4,0.09,3.19,0.06
2016-07-20,35.0,7.6,7.0,473.1,8.8,293.7,0.12,0.61,0.08
2016-07-23,34.8,7.5,7.5,439.3,5.8,274.2,0.12,2.48,0.09
2016-07-26,33.8,7.6,7.6,395.6,10.3,270.3,0.05,0.67,0.04
2016-07-29,34.5,7.8,7.0,397.4,9.6,271.1,0.09,1.16,0.03
2016-08-01,35.0,7.3,7.7,497.8,3.2,327.6,0.18,0.75,0.17
2016-08-04,33.8,7.7,7.6,498.3,8.3,321.1,0.12,1.42,0.02
2016-08-07,34.8,7.5,7.0,353.2,10.0,221.2,0.08,1.32,0.03
2016-08-10,31.2,7.4,7.3,526.0,4.1,335.7,0.09,0.98,0.05
2016-08-13,33.8,7.3,8.0,456.5,2.9,298.5,0.25,2.49,0.11
2016-08-16,32.9,7.5,7.1,533.7,2.0,343.0,0.12,1.58,0.09
2016-08-19,32.3,7.6,7.2,372.0,5.0,219.9,0.13,1.78,0.16
2016-08-22,32.3,7.5,8.0,394.3,4.2,245.3,0.38,0.66,0.03
2016-08-25,30.4,7.7,9.0,452.0,6.0,299.2,0.09,2.65,0.04
2016-08-28,31.5,7.3,8.4,466.1,3.0,301.7,0.12,0.68,0.04
2016-08-31,31.6,7.5,8.1,528.5,11.8,348.2,0.22,0.75,0.12
2016-09-03,32.1,7.3,7.9,488.8,3.5,315.1,0.19,0.64,0.05
2016-09-06,30.2,7.6,8.5,429.4,3.3,290.1,0.08,1.08,0.02
